bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	bookeeping_var_id	bookeeping_var_name	bookeeping_var_value	bookeeping_var_reduced_cost	total_penalty
1	bdft per 1	SOFT	1.0	9.99999999E8	0.1	null	null	566468	y_0	4.8990238704575723E8	0.0	5.100976119542428E7
2	cuft harvest 1 - time period 1	FREE	1.0	null	null	null	null	42602	v_0	9.19561230211479E7	0.0	0.0
3	cuft harvest 2 - time period 2	FREE	1.0	null	null	null	null	42603	v_1	9.19561230211479E7	0.0	0.0
4	cuft harvest 3 - time period 3	FREE	1.0	null	null	null	null	42614	v_2	9.19561230211479E7	0.0	0.0
5	cuft harvest 4 - time period 4	FREE	1.0	null	null	null	null	42625	v_3	9.19561230211479E7	0.0	0.0
6	cuft harvest 5 - time period 5	FREE	1.0	null	null	null	null	42636	v_4	9.19561230211479E7	0.0	0.0
7	cuft harvest 6 - time period 6	FREE	1.0	null	null	null	null	42647	v_5	9.19561230211479E7	0.0	0.0
8	cuft harvest 7 - time period 7	FREE	1.0	null	null	null	null	42658	v_6	9.19561230211479E7	0.0	0.0
9	cuft harvest 8 - time period 8	FREE	1.0	null	null	null	null	42661	v_7	9.19561230211479E7	0.0	0.0
10	cuft harvest 9 - time period 9	FREE	1.0	null	null	null	null	42662	v_8	9.19561230211479E7	0.0	0.0
11	cuft harvest 10 - time period 10	FREE	1.0	null	null	null	null	42663	v_9	9.19561230211479E7	0.0	0.0
12	cuft harvest 11 - time period 11	FREE	1.0	null	null	null	null	42604	v_10	9.19561230211479E7	0.0	0.0
13	cuft harvest 12 - time period 12	FREE	1.0	null	null	null	null	42605	v_11	9.19561230211479E7	0.0	0.0
14	cuft harvest 13 - time period 13	FREE	1.0	null	null	null	null	42606	v_12	9.19561230211479E7	0.0	0.0
15	cuft harvest 14 - time period 14	FREE	1.0	null	null	null	null	42607	v_13	9.19561230211479E7	0.0	0.0
16	cuft harvest 15 - time period 15	FREE	1.0	null	null	null	null	42608	v_14	9.19561230211479E7	0.0	0.0
17	cuft harvest 16 - time period 16	FREE	1.0	null	null	null	null	42609	v_15	9.19561230211479E7	0.0	0.0
18	cuft harvest 17 - time period 17	FREE	1.0	null	null	null	null	42610	v_16	9.19561230211479E7	0.0	0.0
19	cuft harvest 18 - time period 18	FREE	1.0	null	null	null	null	42611	v_17	9.19561230211479E7	0.0	0.0
20	cuft harvest 19 - time period 19	FREE	1.0	null	null	null	null	42612	v_18	9.19561230211479E7	0.0	0.0
21	cuft harvest 20 - time period 20	FREE	1.0	null	null	null	null	42613	v_19	9.19561230211479E7	0.0	0.0
22	G BdftHarv 1 - time period 1	FREE	1.0	null	null	null	null	42615	v_20	3.480409684407574E8	0.0	0.0
23	G BdftHarv 2 - time period 2	FREE	1.0	null	null	null	null	42616	v_21	2.78434337764625E8	0.0	0.0
24	G BdftHarv 3 - time period 3	FREE	1.0	null	null	null	null	42617	v_22	2.9453943689920294E8	0.0	0.0
25	G BdftHarv 4 - time period 4	FREE	1.0	null	null	null	null	42618	v_23	3.483808056155906E8	0.0	0.0
26	G BdftHarv 5 - time period 5	FREE	1.0	null	null	null	null	42619	v_24	3.977382544050506E8	0.0	0.0
27	G BdftHarv 6 - time period 6	FREE	1.0	null	null	null	null	42620	v_25	4.2466085196595806E8	0.0	0.0
28	G BdftHarv 7 - time period 7	FREE	1.0	null	null	null	null	42621	v_26	4.5009440012124974E8	0.0	0.0
29	G BdftHarv 8 - time period 8	FREE	1.0	null	null	null	null	42622	v_27	3.964926071285588E8	0.0	0.0
30	G BdftHarv 9 - time period 9	FREE	1.0	null	null	null	null	42623	v_28	2.2522901258420092E8	0.0	0.0
31	G BdftHarv 10 - time period 10	FREE	1.0	null	null	null	null	42624	v_29	4.052067191336713E8	0.0	0.0
32	G BdftHarv 11 - time period 11	FREE	1.0	null	null	null	null	42626	v_30	2.844352229426125E8	0.0	0.0
33	G BdftHarv 12 - time period 12	FREE	1.0	null	null	null	null	42627	v_31	8.601235170233144E7	0.0	0.0
34	G BdftHarv 13 - time period 13	FREE	1.0	null	null	null	null	42628	v_32	3.606917226088232E8	0.0	0.0
35	G BdftHarv 14 - time period 14	FREE	1.0	null	null	null	null	42629	v_33	3.1270353421482813E8	0.0	0.0
36	G BdftHarv 15 - time period 15	FREE	1.0	null	null	null	null	42630	v_34	2.826434150040749E8	0.0	0.0
37	G BdftHarv 16 - time period 16	FREE	1.0	null	null	null	null	42631	v_35	3.6900665299603355E8	0.0	0.0
38	G BdftHarv 17 - time period 17	FREE	1.0	null	null	null	null	42632	v_36	3.277387901099692E8	0.0	0.0
39	G BdftHarv 18 - time period 18	FREE	1.0	null	null	null	null	42633	v_37	3.453498310267331E8	0.0	0.0
40	G BdftHarv 19 - time period 19	FREE	1.0	null	null	null	null	42634	v_38	2.7067478136997753E8	0.0	0.0
41	G BdftHarv 20 - time period 20	FREE	1.0	null	null	null	null	42635	v_39	2.4836226164804244E8	0.0	0.0
42	C BdftHarv 1 - time period 1	FREE	1.0	null	null	null	null	42637	v_40	1.41861418605E8	0.0	0.0
43	C BdftHarv 2 - time period 2	FREE	1.0	null	null	null	null	42638	v_41	1.7860756065129998E8	0.0	0.0
44	C BdftHarv 3 - time period 3	FREE	1.0	null	null	null	null	42639	v_42	1.7931349181374002E8	0.0	0.0
45	C BdftHarv 4 - time period 4	FREE	1.0	null	null	null	null	42640	v_43	1.1880052301327188E8	0.0	0.0
46	C BdftHarv 5 - time period 5	FREE	1.0	null	null	null	null	42641	v_44	6.647129931765713E7	0.0	0.0
47	C BdftHarv 6 - time period 6	FREE	1.0	null	null	null	null	42642	v_45	4.813117897370672E7	0.0	0.0
48	C BdftHarv 7 - time period 7	FREE	1.0	null	null	null	null	42643	v_46	3.7350006083729096E7	0.0	0.0
49	C BdftHarv 8 - time period 8	FREE	1.0	null	null	null	null	42644	v_47	8.843588135840064E7	0.0	0.0
50	C BdftHarv 9 - time period 9	FREE	1.0	null	null	null	null	42645	v_48	2.4793022333074328E8	0.0	0.0
51	C BdftHarv 10 - time period 10	FREE	1.0	null	null	null	null	42646	v_49	4.979153134798003E7	0.0	0.0
52	C BdftHarv 11 - time period 11	FREE	1.0	null	null	null	null	42648	v_50	1.8162809209543553E8	0.0	0.0
53	C BdftHarv 12 - time period 12	FREE	1.0	null	null	null	null	42649	v_51	3.768057315201182E8	0.0	0.0
54	C BdftHarv 13 - time period 13	FREE	1.0	null	null	null	null	42650	v_52	1.019053056771715E8	0.0	0.0
55	C BdftHarv 14 - time period 14	FREE	1.0	null	null	null	null	42651	v_53	1.4627982619684926E8	0.0	0.0
56	C BdftHarv 15 - time period 15	FREE	1.0	null	null	null	null	42652	v_54	1.6633680389822218E8	0.0	0.0
57	C BdftHarv 16 - time period 16	FREE	1.0	null	null	null	null	42653	v_55	7.676783319963124E7	0.0	0.0
58	C BdftHarv 17 - time period 17	FREE	1.0	null	null	null	null	42654	v_56	1.2512634031776921E8	0.0	0.0
59	C BdftHarv 18 - time period 18	FREE	1.0	null	null	null	null	42655	v_57	9.380280395560619E7	0.0	0.0
60	C BdftHarv 19 - time period 19	FREE	1.0	null	null	null	null	42656	v_58	1.673977436771817E8	0.0	0.0
61	C BdftHarv 20 - time period 20	FREE	1.0	null	null	null	null	42657	v_59	1.7901264688661325E8	0.0	0.0
62	AvgInv SU cuft 10-19	FREE	0.1	null	null	null	null	42659	v_60	7.197901139203434E8	0.0	0.0
63	cuft SU Per 20	FREE	1.0	null	null	null	null	42660	v_61	7.197901139203434E8	0.0	0.0
64	msf 1 - time period 1	HARD	1.0	54500.0	null	null	null	566709	z_0	56063.48000000003	0.0	0.0
65	msf 2 - time period 2	HARD	1.0	54500.0	null	null	null	566710	z_1	54500.00000000006	0.0	0.0
66	msf 3 - time period 3	HARD	1.0	54500.0	null	null	null	566721	z_2	54500.00000000001	0.0	0.0
67	msf 4 - time period 4	HARD	1.0	54500.0	null	null	null	566722	z_3	54500.00000000003	0.0	0.0
68	msf 5 - time period 5	HARD	1.0	54500.0	null	null	null	566723	z_4	54500.0	0.0	0.0
69	msf 6 - time period 6	HARD	1.0	54500.0	null	null	null	566724	z_5	56063.48000000003	0.0	0.0
70	msf 7 - time period 7	HARD	1.0	54500.0	null	null	null	566725	z_6	54500.00000000006	0.0	0.0
71	msf 8 - time period 8	HARD	1.0	54500.0	null	null	null	566726	z_7	54500.00000000001	0.0	0.0
72	msf 9 - time period 9	HARD	1.0	54500.0	null	null	null	566727	z_8	54500.00000000003	0.0	0.0
73	msf 10 - time period 10	HARD	1.0	54500.0	null	null	null	566728	z_9	54500.0	0.0	0.0
74	msf 11 - time period 11	HARD	1.0	54500.0	null	null	null	566711	z_10	56063.48000000003	0.0	0.0
75	msf 12 - time period 12	HARD	1.0	54500.0	null	null	null	566712	z_11	54500.0	1.0	0.0
76	msf 13 - time period 13	HARD	1.0	54500.0	null	null	null	566713	z_12	54500.00000000001	0.0	0.0
77	msf 14 - time period 14	HARD	1.0	54500.0	null	null	null	566714	z_13	54500.0	1.0	0.0
78	msf 15 - time period 15	HARD	1.0	54500.0	null	null	null	566715	z_14	54500.0	0.0	0.0
79	msf 16 - time period 16	HARD	1.0	54500.0	null	null	null	566716	z_15	56063.48000000003	0.0	0.0
80	msf 17 - time period 17	HARD	1.0	54500.0	null	null	null	566717	z_16	54500.00000000006	0.0	0.0
81	msf 18 - time period 18	HARD	1.0	54500.0	null	null	null	566718	z_17	54500.0	1.0	0.0
82	msf 19 - time period 19	HARD	1.0	54500.0	null	null	null	566719	z_18	54500.00000000002	0.0	0.0
