query_id	query_description	query_type	query_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	query_value	
1101	B Small 6 - time period 6	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 6	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	56545.49054907653	
1102	B Small 7 - time period 7	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 7	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	30630.684416222935	
1103	B Small 8 - time period 8	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 8	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	30631.547132773827	
1104	B Small 9 - time period 9	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 9	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	30601.905059011722	
1105	B Small 10 - time period 10	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 10	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	5429.904984441163	
1106	B Small 11 - time period 11	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 11	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	16977.716312655935	
1107	B Small 12 - time period 12	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 12	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	20388.721477795218	
1108	B Small 13 - time period 13	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 13	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	27153.395363277	
1109	B Small 14 - time period 14	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 14	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	20978.5853222563	
1110	B Small 15 - time period 15	SOFT	1.0	2843.0	0.5	56863.0	0.5	NoParameter	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 15	6 B;45 H I J K	6 B C D E F G H I U;45 F G H I J K L M N O P Q R S Z	25100.47850315577	
