query_id	query_description	query_type	query_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	query_value	
1	cost 1 - layer3 1 - time period 1	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1	NoIdentifier	NoIdentifier	798076.5000980584	
2	cost 2 - layer3 1 - time period 2	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 2	NoIdentifier	NoIdentifier	1184380.263964615	
3	cost 3 - layer3 1 - time period 3	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 3	NoIdentifier	NoIdentifier	768906.5722923933	
4	cost 4 - layer3 1 - time period 4	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 4	NoIdentifier	NoIdentifier	928911.5918576526	
5	cost 5 - layer3 1 - time period 5	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 5	NoIdentifier	NoIdentifier	559140.5011818563	
6	cost 6 - layer3 1 - time period 6	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 6	NoIdentifier	NoIdentifier	798041.1002168332	
7	cost 7 - layer3 1 - time period 7	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 7	NoIdentifier	NoIdentifier	680263.5864479594	
8	cost 8 - layer3 1 - time period 8	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 8	NoIdentifier	NoIdentifier	749644.0236391323	
9	cost 9 - layer3 1 - time period 9	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 9	NoIdentifier	NoIdentifier	1403997.8444200214	
10	cost 10 - layer3 1 - time period 10	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 10	NoIdentifier	NoIdentifier	607388.4674210533	
11	cost 11 - layer3 1 - time period 11	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 11	NoIdentifier	NoIdentifier	798042.3154157777	
12	cost 12 - layer3 1 - time period 12	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 12	NoIdentifier	NoIdentifier	680264.0876935823	
13	cost 13 - layer3 1 - time period 13	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 13	NoIdentifier	NoIdentifier	719751.7382274857	
14	cost 14 - layer3 1 - time period 14	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 14	NoIdentifier	NoIdentifier	958797.4035211761	
15	cost 15 - layer3 1 - time period 15	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 15	NoIdentifier	NoIdentifier	560036.2746924332	
16	cost 16 - layer3 2 - time period 1	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1	NoIdentifier	NoIdentifier	7859077.60395137	
17	cost 17 - layer3 2 - time period 2	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 2	NoIdentifier	NoIdentifier	7062445.06381982	
18	cost 18 - layer3 2 - time period 3	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 3	NoIdentifier	NoIdentifier	1.02677070277077E7	
19	cost 19 - layer3 2 - time period 4	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 4	NoIdentifier	NoIdentifier	1.010770200814237E7	
20	cost 20 - layer3 2 - time period 5	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 5	NoIdentifier	NoIdentifier	7510159.997023655	
21	cost 21 - layer3 2 - time period 6	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 6	NoIdentifier	NoIdentifier	4585617.013280921	
22	cost 22 - layer3 2 - time period 7	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 7	NoIdentifier	NoIdentifier	7535275.306567432	
23	cost 23 - layer3 2 - time period 8	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 8	NoIdentifier	NoIdentifier	8755125.782575773	
24	cost 24 - layer3 2 - time period 9	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 9	NoIdentifier	NoIdentifier	8476974.094284846	
25	cost 25 - layer3 2 - time period 10	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 10	NoIdentifier	NoIdentifier	7209190.113743316	
26	cost 26 - layer3 2 - time period 11	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 11	NoIdentifier	NoIdentifier	5067370.382094105	
27	cost 27 - layer3 2 - time period 12	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 12	NoIdentifier	NoIdentifier	8730536.769934198	
28	cost 28 - layer3 2 - time period 13	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 13	NoIdentifier	NoIdentifier	7959117.075751479	
29	cost 29 - layer3 2 - time period 14	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 14	NoIdentifier	NoIdentifier	8920312.20445594	
30	cost 30 - layer3 2 - time period 15	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 2;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 15	NoIdentifier	NoIdentifier	8991639.312803073	
31	cost 31 - layer3 3 - time period 1	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 3;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1	NoIdentifier	NoIdentifier	1658026.33358	
32	cost 32 - layer3 3 - time period 2	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 3;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 2	NoIdentifier	NoIdentifier	2614171.275024391	
33	cost 33 - layer3 3 - time period 3	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 3;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 3	NoIdentifier	NoIdentifier	3576802.2467580168	
34	cost 34 - layer3 3 - time period 4	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 3;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 4	NoIdentifier	NoIdentifier	1542885.9825964733	
35	cost 35 - layer3 3 - time period 5	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 3;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 5	NoIdentifier	NoIdentifier	2741183.8776388466	
36	cost 36 - layer3 3 - time period 6	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 3;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 6	NoIdentifier	NoIdentifier	555319.1157226734	
37	cost 37 - layer3 3 - time period 7	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 3;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 7	NoIdentifier	NoIdentifier	1361077.596132663	
38	cost 38 - layer3 3 - time period 8	null	1.0	null	null	null	null	CostParameter	0 B A;1 N;2 3;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 8	NoIdentifier	NoIdentifier	1264355.5125056475	
