bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	bookeeping_var_id	bookeeping_var_name	bookeeping_var_value	bookeeping_var_reduced_cost	total_penalty
1	BdFtVol Per1	SOFT	1.0	9.99999999E8	1.0	null	null	544573	y_0	7.524324890760283E7	0.0	9.247567500923972E8
2	CuFt Harv 1 - time period 1	FREE	1.0	null	null	null	null	51032	v_0	1.1252014817741824E7	0.0	0.0
3	CuFt Harv 2 - time period 2	FREE	1.0	null	null	null	null	51033	v_1	1.1252014817741824E7	0.0	0.0
4	CuFt Harv 3 - time period 3	FREE	1.0	null	null	null	null	51044	v_2	1.1252014817741824E7	0.0	0.0
5	CuFt Harv 4 - time period 4	FREE	1.0	null	null	null	null	51053	v_3	1.1252014817741824E7	0.0	0.0
6	CuFt Harv 5 - time period 5	FREE	1.0	null	null	null	null	51054	v_4	1.290893760217689E7	0.0	0.0
7	CuFt Harv 6 - time period 6	FREE	1.0	null	null	null	null	51055	v_5	1.290893760217689E7	0.0	0.0
8	CuFt Harv 7 - time period 7	FREE	1.0	null	null	null	null	51056	v_6	1.290893760217689E7	0.0	0.0
9	CuFt Harv 8 - time period 8	FREE	1.0	null	null	null	null	51057	v_7	1.290893760217689E7	0.0	0.0
10	CuFt Harv 9 - time period 9	FREE	1.0	null	null	null	null	51058	v_8	1.290893760217689E7	0.0	0.0
11	CuFt Harv 10 - time period 10	FREE	1.0	null	null	null	null	51059	v_9	1.290893760217689E7	0.0	0.0
12	CuFt Harv 11 - time period 11	FREE	1.0	null	null	null	null	51034	v_10	1.290893760217689E7	0.0	0.0
13	CuFt Harv 12 - time period 12	FREE	1.0	null	null	null	null	51035	v_11	1.290893760217689E7	0.0	0.0
14	CuFt Harv 13 - time period 13	FREE	1.0	null	null	null	null	51036	v_12	1.290893760217689E7	0.0	0.0
15	CuFt Harv 14 - time period 14	FREE	1.0	null	null	null	null	51037	v_13	1.290893760217689E7	0.0	0.0
16	CuFt Harv 15 - time period 15	FREE	1.0	null	null	null	null	51038	v_14	1.290893760217689E7	0.0	0.0
17	CuFt Inventory 5-14	FREE	0.1	null	null	null	null	51039	v_15	1.1671204930972154E9	0.0	0.0
18	CuFtInventory 15	FREE	1.0	null	null	null	null	51040	v_16	1.1800294306993923E9	0.0	0.0
19	msf 1 - time period 1	HARD	1.0	45000.0	null	null	null	544574	z_0	44999.99999999999	0.0	0.0
20	msf 2 - time period 2	HARD	1.0	45000.0	null	null	null	544575	z_1	49426.863661776006	0.0	0.0
21	msf 3 - time period 3	HARD	1.0	45000.0	null	null	null	544686	z_2	45000.0	-8.461038163767047E-13	0.0
22	msf 4 - time period 4	HARD	1.0	45000.0	null	null	null	544797	z_3	45000.0	-1.991414568390827E-12	0.0
23	msf 5 - time period 5	HARD	1.0	45000.0	null	null	null	544908	z_4	48552.73633822405	0.0	0.0
24	msf 6 - time period 6	HARD	1.0	45000.0	null	null	null	545019	z_5	44999.99999999999	0.0	0.0
25	msf 7 - time period 7	HARD	1.0	45000.0	null	null	null	545130	z_6	49426.863661776006	0.0	0.0
26	msf 8 - time period 8	HARD	1.0	45000.0	null	null	null	545187	z_7	45000.00000000005	0.0	0.0
27	msf 9 - time period 9	HARD	1.0	45000.0	null	null	null	545198	z_8	45000.0	0.0	0.0
28	msf 10 - time period 10	HARD	1.0	45000.0	null	null	null	545209	z_9	48552.73633822405	0.0	0.0
29	msf 11 - time period 11	HARD	1.0	45000.0	null	null	null	544576	z_10	45000.0	135.7875726292571	0.0
30	msf 12 - time period 12	HARD	1.0	45000.0	null	null	null	544587	z_11	49426.863661776006	0.0	0.0
31	msf 13 - time period 13	HARD	1.0	45000.0	null	null	null	544598	z_12	45000.00000000002	0.0	0.0
32	msf 14 - time period 14	HARD	1.0	45000.0	null	null	null	544609	z_13	45000.0	0.0	0.0
33	msf 15 - time period 15	HARD	1.0	45000.0	null	null	null	544620	z_14	48552.73633822405	0.0	0.0
334	budget 1 - time period 1	HARD	1.0	null	null	3.065726E7	null	544631	z_15	3.065726E7	-5.778194579968437	0.0
335	budget 2 - time period 2	HARD	1.0	null	null	3.065726E7	null	544642	z_16	3.065726E7	-1.163231741160626E-15	0.0
336	budget 3 - time period 3	HARD	1.0	null	null	3.065726E7	null	544653	z_17	3.065726E7	-4.8418539250307185E-16	0.0
337	budget 4 - time period 4	HARD	1.0	null	null	3.065726E7	null	544664	z_18	2.995551888775355E7	0.0	0.0
338	budget 5 - time period 5	HARD	1.0	null	null	3.065726E7	null	544675	z_19	3.065726E7	-8.849139570409105E-16	0.0
339	WUI Cost 1 - time period 1	FREE	1.0	null	null	null	null	51041	v_17	1.25694766E7	0.0	0.0
340	WUI Cost 2 - time period 2	FREE	1.0	null	null	null	null	51042	v_18	1.25694766E7	0.0	0.0
341	WUI Cost 3 - time period 3	FREE	1.0	null	null	null	null	51043	v_19	1.3359526286452442E7	0.0	0.0
342	WUI Cost 4 - time period 4	FREE	1.0	null	null	null	null	51045	v_20	1.2281762743978955E7	0.0	0.0
343	WUI Cost 5 - time period 5	FREE	1.0	null	null	null	null	51046	v_21	1.25694766E7	0.0	0.0
344	nonWUI Cost 1 - time period 1	FREE	1.0	null	null	null	null	51047	v_22	9547347.636859573	0.0	0.0
345	nonWUI Cost 2 - time period 2	FREE	1.0	null	null	null	null	51048	v_23	9441717.415205777	0.0	0.0
346	nonWUI Cost 3 - time period 3	FREE	1.0	null	null	null	null	51049	v_24	7051169.800000001	0.0	0.0
347	nonWUI Cost 4 - time period 4	FREE	1.0	null	null	null	null	51050	v_25	6889769.344183316	0.0	0.0
348	nonWUI Cost 5 - time period 5	FREE	1.0	null	null	null	null	51051	v_26	1.0767161799251707E7	0.0	0.0
349	No EA for B in MAG 1-4	HARD	1.0	null	null	0.0	null	544687	z_20	0.0	0.0	0.0
350	all Rx burn 1 - time period 1	HARD	1.0	null	null	100000.0	null	544698	z_21	47924.8847235011	0.0	0.0
351	all Rx burn 2 - time period 2	HARD	1.0	null	null	100000.0	null	544709	z_22	13199.629831765013	0.0	0.0
352	all Rx burn 3 - time period 3	HARD	1.0	null	null	100000.0	null	544720	z_23	28517.045156373468	0.0	0.0
353	all Rx burn 4 - time period 4	HARD	1.0	null	null	100000.0	null	544731	z_24	6271.988533035659	0.0	0.0
354	all Rx burn 5 - time period 5	HARD	1.0	null	null	100000.0	null	544742	z_25	8211.778423447033	0.0	0.0
355	all Rx burn 6 - time period 6	HARD	1.0	null	null	100000.0	null	544753	z_26	46870.59564372583	0.0	0.0
356	all Rx burn 7 - time period 7	HARD	1.0	null	null	100000.0	null	544764	z_27	34886.32557012055	0.0	0.0
357	all Rx burn 8 - time period 8	HARD	1.0	null	null	100000.0	null	544775	z_28	29682.60416876483	0.0	0.0
358	all Rx burn 9 - time period 9	HARD	1.0	null	null	100000.0	null	544786	z_29	15972.605535715005	0.0	0.0
359	all Rx burn 10 - time period 10	HARD	1.0	null	null	100000.0	null	544798	z_30	20677.864478269297	0.0	0.0
360	all Rx burn 11 - time period 11	HARD	1.0	null	null	100000.0	null	544809	z_31	19899.920196177045	0.0	0.0
361	all Rx burn 12 - time period 12	HARD	1.0	null	null	100000.0	null	544820	z_32	28562.766546580362	0.0	0.0
362	all Rx burn 13 - time period 13	HARD	1.0	null	null	100000.0	null	544831	z_33	18448.38886021655	0.0	0.0
363	all Rx burn 14 - time period 14	HARD	1.0	null	null	100000.0	null	544842	z_34	18326.281774498326	0.0	0.0
364	all Rx burn 15 - time period 15	HARD	1.0	null	null	100000.0	null	544853	z_35	24018.228362362373	0.0	0.0
365	MAG 2 Opening 1 - time period 1	HARD	1.0	null	null	149000.0	null	544864	z_36	68640.81661870275	0.0	0.0
366	MAG 2 Opening 2 - time period 2	HARD	1.0	null	null	149000.0	null	544875	z_37	57983.953523091266	0.0	0.0
367	MAG 2 Opening 3 - time period 3	HARD	1.0	null	null	149000.0	null	544886	z_38	44700.18990569851	0.0	0.0
368	MAG 2 Opening 4 - time period 4	HARD	1.0	null	null	149000.0	null	544897	z_39	31862.921979195413	0.0	0.0
369	MAG 2 Opening 5 - time period 5	HARD	1.0	null	null	149000.0	null	544909	z_40	24513.5081807352	0.0	0.0
370	MAG 2 Opening 6 - time period 6	HARD	1.0	null	null	149000.0	null	544920	z_41	29451.39061752517	0.0	0.0
371	MAG 2 Opening 7 - time period 7	HARD	1.0	null	null	149000.0	null	544931	z_42	32007.953868303	0.0	0.0
372	MAG 2 Opening 8 - time period 8	HARD	1.0	null	null	149000.0	null	544942	z_43	41547.03936931015	0.0	0.0
373	MAG 2 Opening 9 - time period 9	HARD	1.0	null	null	149000.0	null	544953	z_44	54550.16122741797	0.0	0.0
374	MAG 2 Opening 10 - time period 10	HARD	1.0	null	null	149000.0	null	544964	z_45	52810.24863196622	0.0	0.0
