ageclass	B	C	D	E	F	G	H	I	U	
1	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	0.0	
2	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	0.0	
3	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	0.0	
4	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	100.0	
5	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
6	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
7	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
8	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
9	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
10	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
11	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
12	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
13	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
14	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
15	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
16	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
17	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
18	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
19	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
20	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
21	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
22	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
23	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
24	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
25	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
26	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
27	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
28	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
29	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
30	14.0	16.0	9.0	11.0	4.0	2.0	3.0	2.0	2.0	
