strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
AG1BDF	A	G	1	B	D	F	3851.0	1	true	
AG1BDG	A	G	1	B	D	G	245.0	1	true	
AG1BDH	A	G	1	B	D	H	724.0	3	true	
AG1BDI	A	G	1	B	D	I	994.0	3	true	
AG1BDJ	A	G	1	B	D	J	1280.0	3	true	
AG1BDK	A	G	1	B	D	K	2025.0	3	true	
AG1BDL	A	G	1	B	D	L	130.0	6	true	
AG1BDM	A	G	1	B	D	M	962.0	6	true	
AG1BDN	A	G	1	B	D	N	3761.0	6	true	
AG1BDO	A	G	1	B	D	O	13618.0	6	true	
AG1BDR	A	G	1	B	D	R	167.0	10	true	
AG1BDS	A	G	1	B	D	S	350.0	10	true	
AG1BEF	A	G	1	B	E	F	211.0	1	true	
AG1BEG	A	G	1	B	E	G	499.0	1	true	
AG1BEH	A	G	1	B	E	H	153.0	3	true	
AG1BEI	A	G	1	B	E	I	535.0	3	true	
AG1BEJ	A	G	1	B	E	J	1623.0	3	true	
AG1BEK	A	G	1	B	E	K	3919.0	3	true	
AG1BEM	A	G	1	B	E	M	149.0	6	true	
AG1BEN	A	G	1	B	E	N	819.0	6	true	
AG1BEO	A	G	1	B	E	O	11043.0	6	true	
AG1BFF	A	G	1	B	F	F	1494.0	1	true	
AG1BFG	A	G	1	B	F	G	597.0	1	true	
AG1BFH	A	G	1	B	F	H	1579.0	3	true	
AG1BFI	A	G	1	B	F	I	2125.0	3	true	
AG1BFJ	A	G	1	B	F	J	2255.0	3	true	
AG1BFK	A	G	1	B	F	K	3278.0	3	true	
AG1BFL	A	G	1	B	F	L	423.0	6	true	
AG1BFM	A	G	1	B	F	M	2253.0	6	true	
AG1BFN	A	G	1	B	F	N	8358.0	6	true	
AG1BFO	A	G	1	B	F	O	35732.0	6	true	
AG1BFR	A	G	1	B	F	R	600.0	10	true	
AG1BFS	A	G	1	B	F	S	1346.0	10	true	
AG1BGF	A	G	1	B	G	F	9173.0	1	true	
AG1BGG	A	G	1	B	G	G	5813.0	1	true	
AG1BGH	A	G	1	B	G	H	956.0	3	true	
AG1BGI	A	G	1	B	G	I	3035.0	3	true	
AG1BGJ	A	G	1	B	G	J	7531.0	3	true	
AG1BGK	A	G	1	B	G	K	26027.0	3	true	
AG1BGM	A	G	1	B	G	M	684.0	6	true	
AG1BGN	A	G	1	B	G	N	4639.0	6	true	
AG1BGO	A	G	1	B	G	O	67363.0	6	true	
AG1BHF	A	G	1	B	H	F	4591.0	1	true	
AG1BHH	A	G	1	B	H	H	1493.0	3	true	
AG1BHI	A	G	1	B	H	I	1953.0	3	true	
AG1BHJ	A	G	1	B	H	J	1783.0	3	true	
AG1BHK	A	G	1	B	H	K	1892.0	3	true	
AG1BHL	A	G	1	B	H	L	519.0	6	true	
AG1BHM	A	G	1	B	H	M	2613.0	6	true	
AG1BHN	A	G	1	B	H	N	11075.0	6	true	
AG1BHO	A	G	1	B	H	O	48177.0	6	true	
AG1BHQ	A	G	1	B	H	Q	189.0	10	true	
AG1BHR	A	G	1	B	H	R	594.0	10	true	
AG1BHS	A	G	1	B	H	S	1408.0	10	true	
AG1BIF	A	G	1	B	I	F	4203.0	1	true	
AG1BIG	A	G	1	B	I	G	1495.0	1	true	
AG1BIH	A	G	1	B	I	H	2775.0	3	true	
AG1BII	A	G	1	B	I	I	4149.0	3	true	
AG1BIJ	A	G	1	B	I	J	5534.0	3	true	
AG1BIK	A	G	1	B	I	K	10847.0	3	true	
AG1BIL	A	G	1	B	I	L	452.0	6	true	
AG1BIM	A	G	1	B	I	M	2381.0	6	true	
AG1BIN	A	G	1	B	I	N	7858.0	6	true	
AG1BIO	A	G	1	B	I	O	43403.0	6	true	
AG1BIR	A	G	1	B	I	R	103.0	10	true	
AG1BIS	A	G	1	B	I	S	275.0	10	true	
AG1GDF	A	G	1	G	D	F	15665.0	1	true	
AG1GDG	A	G	1	G	D	G	208.0	1	true	
AG1GDH	A	G	1	G	D	H	1102.0	3	true	
AG1GDI	A	G	1	G	D	I	964.0	3	true	
AG1GDJ	A	G	1	G	D	J	862.0	3	true	
AG1GDK	A	G	1	G	D	K	970.0	3	true	
AG1GDL	A	G	1	G	D	L	388.0	6	true	
AG1GDM	A	G	1	G	D	M	1046.0	6	true	
AG1GDN	A	G	1	G	D	N	2652.0	6	true	
AG1GDO	A	G	1	G	D	O	6964.0	6	true	
AG1GDR	A	G	1	G	D	R	151.0	10	true	
AG1GDS	A	G	1	G	D	S	144.0	10	true	
AG1GEF	A	G	1	G	E	F	344.0	1	true	
AG1GEH	A	G	1	G	E	H	152.0	3	true	
AG1GEI	A	G	1	G	E	I	278.0	3	true	
AG1GEJ	A	G	1	G	E	J	596.0	3	true	
AG1GEK	A	G	1	G	E	K	2210.0	3	true	
AG1GEL	A	G	1	G	E	L	162.0	6	true	
AG1GEM	A	G	1	G	E	M	121.0	6	true	
AG1GEN	A	G	1	G	E	N	678.0	6	true	
AG1GEO	A	G	1	G	E	O	2999.0	6	true	
AG1GFF	A	G	1	G	F	F	308.0	1	true	
AG1GFG	A	G	1	G	F	G	108.0	1	true	
AG1GFH	A	G	1	G	F	H	551.0	3	true	
AG1GFI	A	G	1	G	F	I	692.0	3	true	
AG1GFJ	A	G	1	G	F	J	671.0	3	true	
AG1GFK	A	G	1	G	F	K	778.0	3	true	
AG1GFM	A	G	1	G	F	M	539.0	6	true	
AG1GFN	A	G	1	G	F	N	1819.0	6	true	
AG1GFO	A	G	1	G	F	O	8097.0	6	true	
AG1GFR	A	G	1	G	F	R	115.0	10	true	
AG1GFS	A	G	1	G	F	S	183.0	10	true	
AG1GGF	A	G	1	G	G	F	434.0	1	true	
AG1GGG	A	G	1	G	G	G	446.0	1	true	
AG1GGH	A	G	1	G	G	H	373.0	3	true	
