flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	7091249.468008166;4.7089580546004415E7;4.7089580546004415E7;4.7089580546004415E7;4.7089580546004415E7;4.7089580546004415E7;5.0527529146646276E7;5.0527529146646276E7;5.0527529146646276E7;5.0527529146646276E7;5.0527529146646276E7;5.0527529146646276E7;5.0527529146646276E7;5.0527529146646276E7;5.0527529146646276E7
2	EndingInv	17 620;18	HARD	100.0	null	9.787970543982741E8;1.0594926750253389E9
3	wui per1 bud	334;339	FREE	42.0	null	3.340275447033068E7;1.2019411387824712E7
4	wui per2 bud	335;340	FREE	42.0	null	9.121062648565629E7;2.322802321892411E7
5	wui per3bud	336;341	FREE	42.0	null	7.650330902916397E7;2.656506513175386E7
6	wui per4 bud	337;342	FREE	42.0	null	7.987099615717669E7;2.7835195646107662E7
7	wui per5 bud	338;343	FREE	42.0	null	7.669525067782378E7;4.142639511362458E7
8	Nonwui per1 bud	334;344	FREE	23.0	null	3.340275447033068E7;1.8432385261910945E7
9	Nonwui per2 bud	335;345	FREE	23.0	null	9.121062648565629E7;6.51976782386632E7
10	Nonwui per3 bud	336;346	FREE	23.0	null	7.650330902916397E7;4.765591736036687E7
11	Nonwui per4 bud	337;347	FREE	23.0	null	7.987099615717669E7;4.932395938499854E7
12	Nonwui per5 bud	338;348	FREE	23.0	null	7.669525067782378E7;3.3254323013616506E7
13	VegB Thin 1	1247;1267	HARD	50.0	70.0	812.9763666584911;569.0834566609437
14	VegB Thin 2	1248;1268	HARD	50.0	70.0	2670.616008869517;1335.3080044347585
15	VegB Thin 3	1249;1269	HARD	50.0	70.0	1523.2515903067513;1066.276113214726
16	VegB Thin 4	1250;1270	HARD	50.0	70.0	1179.9525614644692;825.9667930251284
17	VegB Thin 5	1251;1271	HARD	50.0	70.0	734.6847021696001;367.34235108480004
18	WDMon Thin 1	1252;1272	HARD	40.0	65.0	1641.561806077373;1067.0151739502924
19	WDMon Thin 2	1253;1273	HARD	40.0	65.0	4939.127285714287;3210.4327357142865
20	WDMon Thin 3	1254;1274	HARD	40.0	65.0	8058.262080806337;3223.304832322535
21	WDMon Thin 4	1255;1275	HARD	40.0	65.0	7129.959941661538;4634.47396208
22	WDMon Thin 5	1256;1276	HARD	40.0	65.0	6181.199284624001;4017.779535005601
23	CMnonLP Thin 1	1257;1277	HARD	50.0	70.0	1720.1999999999998;1204.1399999999999
24	CMnonLP Thin 2	1258;1278	HARD	50.0	70.0	1932.6816000000001;966.3408000000001
25	CMnonLP Thin 3	1259;1279	HARD	50.0	70.0	5807.402868921132;2903.701434460566
26	CMnonLP Thin 4	1260;1280	HARD	50.0	70.0	4739.672504908644;2875.2088865086453
27	CMnonLP Thin 5	1261;1281	HARD	50.0	70.0	5918.3924323474275;4142.874702643199
28	CMLP Thin 1	1262;1282	HARD	null	25.0	1202.8266666666666;300.70666666666665
29	CMLP Thin 2	1263;1283	HARD	null	25.0	15394.327722255315;3848.581930563829
30	CMLP Thin 3	1264;1284	HARD	null	25.0	3143.937965322821;785.9844913307053
31	CMLP Thin 4	1265;1285	HARD	null	25.0	10225.078224224853;2556.2695560562133
32	CMLP Thin 5	1266;1286	HARD	null	25.0	9346.690266351887;0.0
33	D1 33% MontVol	1302;1287	HARD	50.0	null	2363749.8226693887;4727499.645338777
34	MontaneNDEF	1287;1288;1289;1290;1291;1292;1293;1294;1295;1296;1297;1298;1299;1300;1301	HARD	99.5	null	4727499.645338777;4.4737649472448364E7;4.474940912781616E7;4.4761109984906875E7;4.477275233771258E7;4.454888857602402E7;4.4326144133143894E7;4.4357151058211416E7;4.413536530292036E7;4.416732612213899E7;4.419912713726152E7;4.423076914730844E7;4.40096153015719E7;4.404220487079728E7;4.382199384644329E7
35	Prairie NDEF	1302;1303;1304;1305;1306;1307;1308;1309;1310;1311;1312;1313;1314;1315;1316	HARD	99.5	null	2363749.8226693887;2351931.073556042;2340171.418188262;2328470.5610973206;2316828.208291834;2540691.969980397;6201385.013502371;6170378.088434858;6392163.843725921;6360203.024507292;6328402.009384755;6296759.9993378315;6517913.845074364;6485324.275848992;6705535.300202974
36	D1 33% Prairie Vol	1287;1302	HARD	50.0	null	4727499.645338777;2363749.8226693887
