strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
AG1BDF	A	G	1	B	D	F	3388.88	0.0	0.0	0.0	462.12	0.0
AG1BDG	A	G	1	B	D	G	225.4	0.0	0.0	0.0	19.6	0.0
AG1BDH	A	G	1	B	D	H	318.55999999999995	0.0	0.0	0.0	405.44000000000005	0.0
AG1BDI	A	G	1	B	D	I	675.9200000000001	0.0	0.0	0.0	318.08	0.0
AG1BDJ	A	G	1	B	D	J	1075.2	0.0	0.0	0.0	204.8	0.0
AG1BDK	A	G	1	B	D	K	1620.0	0.0	0.0	0.0	405.0	0.0
AG1BDL	A	G	1	B	D	L	93.6	0.0	0.0	0.0	36.400000000000006	0.0
AG1BDM	A	G	1	B	D	M	615.6800000000001	0.0	0.0	0.0	346.32	0.0
AG1BDN	A	G	1	B	D	N	2689.1150000000002	0.0	0.0	0.0	902.64	169.245
AG1BDO	A	G	1	B	D	O	8647.43	0.0	0.0	0.0	4357.76	612.81
AG1BDR	A	G	1	B	D	R	139.44500000000002	0.0	0.0	0.0	20.04	7.515
AG1BDS	A	G	1	B	D	S	306.25	0.0	0.0	0.0	28.0	15.75
AG1BEF	A	G	1	B	E	F	194.12	0.0	0.0	0.0	16.88	0.0
AG1BEG	A	G	1	B	E	G	479.04	0.0	0.0	0.0	19.96	0.0
AG1BEH	A	G	1	B	E	H	134.64	0.0	0.0	0.0	18.36	0.0
AG1BEI	A	G	1	B	E	I	449.4	0.0	0.0	0.0	85.60000000000001	0.0
AG1BEJ	A	G	1	B	E	J	1493.16	0.0	0.0	0.0	129.84	0.0
AG1BEK	A	G	1	B	E	K	3762.24	0.0	0.0	0.0	156.76	0.0
AG1BEM	A	G	1	B	E	M	77.48	0.0	0.0	0.0	41.720000000000006	29.8
AG1BEN	A	G	1	B	E	N	524.1600000000001	0.0	0.0	0.0	131.04	163.8
