flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7;6.3175087950704105E7
2	EndingInv	17 620;18	HARD	100.0	null	8.187984262634314E8;8.187984262634314E8
3	wui per1 bud	334;339	FREE	42.0	null	1.1712000093429495E8;3.5711080079667576E7
4	wui per2 bud	335;340	FREE	42.0	null	1.5451157259653604E8;5.821278923617614E7
5	wui per3bud	336;341	FREE	42.0	null	1.0010790265485485E8;3.2021855265512653E7
6	wui per4 bud	337;342	FREE	42.0	null	1.1040513823862405E8;5.228715328839693E7
7	wui per5 bud	338;343	FREE	42.0	null	1.0074896719092493E8;4.420365577568359E7
8	Nonwui per1 bud	334;344	FREE	23.0	null	1.1712000093429495E8;5.838841817498209E7
9	Nonwui per2 bud	335;345	FREE	23.0	null	1.5451157259653604E8;7.830482761696523E7
10	Nonwui per3 bud	336;346	FREE	23.0	null	1.0010790265485485E8;6.617960613542835E7
11	Nonwui per4 bud	337;347	FREE	23.0	null	1.1040513823862405E8;4.273341553455465E7
12	Nonwui per5 bud	338;348	FREE	23.0	null	1.0074896719092493E8;5.148819494183977E7
13	VegB Thin 1	1247;1267	FREE	50.0	70.0	6928.394718444187;0.0
14	VegB Thin 2	1248;1268	FREE	50.0	70.0	10307.41190630781;6029.58355009202
15	VegB Thin 3	1249;1269	FREE	50.0	70.0	18051.507307955293;7585.77834847216
16	VegB Thin 4	1250;1270	FREE	50.0	70.0	10860.633886953863;9159.853161499133
17	VegB Thin 5	1251;1271	FREE	50.0	70.0	23549.570286121456;367.34235108480004
18	WDMon Thin 1	1252;1272	FREE	40.0	65.0	1829.4664142899876;1829.4664142899876
19	WDMon Thin 2	1253;1273	FREE	40.0	65.0	22439.741136923574;21456.829080332416
20	WDMon Thin 3	1254;1274	FREE	40.0	65.0	8054.804485000001;0.0
21	WDMon Thin 4	1255;1275	FREE	40.0	65.0	1807.5948473441417;622.2901512491418
22	WDMon Thin 5	1256;1276	FREE	40.0	65.0	7271.363789033204;99.69376112639996
23	CMnonLP Thin 1	1257;1277	FREE	50.0	70.0	536.3444968790039;0.0
24	CMnonLP Thin 2	1258;1278	FREE	50.0	70.0	7360.436082996154;426.9024
25	CMnonLP Thin 3	1259;1279	FREE	50.0	70.0	8076.884471831433;0.0
26	CMnonLP Thin 4	1260;1280	FREE	50.0	70.0	6828.232135395983;146.02767999999998
27	CMnonLP Thin 5	1261;1281	FREE	50.0	70.0	4019.372195762256;236.50690775439998
28	CMLP Thin 1	1262;1282	FREE	null	25.0	13684.498825350716;13559.698825350717
29	CMLP Thin 2	1263;1283	FREE	null	25.0	0.0;0.0
30	CMLP Thin 3	1264;1284	FREE	null	25.0	6197.573290162627;218.241296
31	CMLP Thin 4	1265;1285	FREE	null	25.0	8332.992857149493;0.0
32	CMLP Thin 5	1266;1286	FREE	null	25.0	2521.413862442893;0.0
33	D1 33% MontVol	1302;1287	HARD	50.0	null	2.10583626502347E7;4.21167253004694E7
34	MontaneNDEF	1287;1288;1289;1290;1291;1292;1293;1294;1295;1296;1297;1298;1299;1300;1301	HARD	99.5	null	4.21167253004694E7;4.222201711372057E7;4.232678246790553E7;4.243102399531949E7;4.253474431509632E7;4.263794603327446E7;4.2740631742861584E7;4.2842804023900785E7;4.294446544353482E7;4.304561855607066E7;4.314626590304383E7;4.293053457352861E7;4.3031757340414494E7;4.313247399346589E7;4.323268706325214E7
35	Prairie NDEF	1302;1303;1304;1305;1306;1307;1308;1309;1310;1311;1312;1313;1314;1315;1316	HARD	99.5	null	2.10583626502347E7;2.0953070836983528E7;2.084830548279861E7;2.074406395538462E7;2.0640343635607697E7;2.053714191742966E7;2.0434456207842518E7;2.0332283926803306E7;2.0230622507169288E7;2.0129469394633442E7;2.0028822047660276E7;2.0244553377175488E7;2.014333061028961E7;2.0042613957238164E7;1.9942400887451973E7
36	D1 33% Prairie Vol	1287;1302	HARD	50.0	null	4.21167253004694E7;2.10583626502347E7
