strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
AC1ODF	A	C	1	O	D	F	48.0	1	true	
AC2GCO	A	C	2	G	C	O	96.0	6	true	
AC2GDK	A	C	2	G	D	K	314.0	3	true	
AC2GDL	A	C	2	G	D	L	307.0	6	true	
AC2GDM	A	C	2	G	D	M	294.0	6	true	
AC2GDN	A	C	2	G	D	N	967.0	6	true	
AC2GDO	A	C	2	G	D	O	1339.0	6	true	
AC2GEI	A	C	2	G	E	I	108.0	3	true	
AC2GEJ	A	C	2	G	E	J	147.0	3	true	
AC2GEK	A	C	2	G	E	K	584.0	3	true	
AC2GEN	A	C	2	G	E	N	292.0	6	true	
AC2GEO	A	C	2	G	E	O	615.0	6	true	
AC2GFO	A	C	2	G	F	O	150.0	6	true	
AC2GGI	A	C	2	G	G	I	34.0	3	true	
AC2GGK	A	C	2	G	G	K	506.0	3	true	
AC2GGN	A	C	2	G	G	N	169.0	6	true	
AC2GGO	A	C	2	G	G	O	865.0	6	true	
AC2GHM	A	C	2	G	H	M	81.0	6	true	
AC2GHO	A	C	2	G	H	O	122.0	6	true	
AC2GIK	A	C	2	G	I	K	180.0	3	true	
AC2GIO	A	C	2	G	I	O	138.0	6	true	
AC2ODK	A	C	2	O	D	K	194.0	3	true	
AC2ODL	A	C	2	O	D	L	133.0	6	true	
AC2ODM	A	C	2	O	D	M	248.0	6	true	
AC2ODN	A	C	2	O	D	N	369.0	6	true	
AC2ODO	A	C	2	O	D	O	234.0	6	true	
AC2OEI	A	C	2	O	E	I	136.0	3	true	
AC2OEK	A	C	2	O	E	K	195.0	3	true	
AC2OEO	A	C	2	O	E	O	207.0	6	true	
AC2OGK	A	C	2	O	G	K	187.0	3	true	
AC2OGN	A	C	2	O	G	N	104.0	6	true	
AC2OGO	A	C	2	O	G	O	270.0	6	true	
AC2OHM	A	C	2	O	H	M	30.0	6	true	
AC2UDO	A	C	2	U	D	O	128.0	6	true	
AC2UEK	A	C	2	U	E	K	51.0	3	true	
AC2UEO	A	C	2	U	E	O	115.0	6	true	
AC2UGK	A	C	2	U	G	K	36.0	3	true	
AC2UGO	A	C	2	U	G	O	184.0	6	true	
