strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
ANCBDF	A	N	C	B	D	F	0.0	0.0	0.0	411.4	72.6	0.0
ANCBDG	A	N	C	B	D	G	0.0	0.0	0.0	17.0	3.0	0.0
ANCBDI	A	N	C	B	D	I	0.0	0.0	0.0	162.35	28.65	0.0
ANCBDJ	A	N	C	B	D	J	0.0	0.0	0.0	298.35	52.65	0.0
ANCBDK	A	N	C	B	D	K	0.0	0.0	0.0	763.3	134.7	0.0
ANCBDM	A	N	C	B	D	M	0.0	0.0	0.0	48.45	8.549999999999999	0.0
ANCBDN	A	N	C	B	D	N	0.0	0.0	0.0	309.12	57.599999999999994	17.28
ANCBDO	A	N	C	B	D	O	0.0	0.0	0.0	825.9300000000001	153.9	46.17
ANCBDS	A	N	C	B	D	S	0.0	0.0	0.0	30.589999999999996	5.7	1.71
ANCBEG	A	N	C	B	E	G	0.0	0.0	0.0	111.35	19.65	0.0
ANCBEI	A	N	C	B	E	I	0.0	0.0	0.0	81.6	14.399999999999999	0.0
ANCBEJ	A	N	C	B	E	J	0.0	0.0	0.0	300.9	53.1	0.0
ANCBEK	A	N	C	B	E	K	0.0	0.0	0.0	1842.8	325.2	0.0
ANCBEM	A	N	C	B	E	M	0.0	0.0	0.0	22.75	5.25	7.0
ANCBEN	A	N	C	B	E	N	0.0	0.0	0.0	127.39999999999999	29.4	39.2
ANCBEO	A	N	C	B	E	O	0.0	0.0	0.0	386.09999999999997	89.1	118.80000000000001
ANCBFG	A	N	C	B	F	G	0.0	0.0	0.0	34.85	6.1499999999999995	0.0
ANCBFI	A	N	C	B	F	I	0.0	0.0	0.0	160.65	28.349999999999998	0.0
ANCBFJ	A	N	C	B	F	J	0.0	0.0	0.0	260.1	45.9	0.0
ANCBFK	A	N	C	B	F	K	0.0	0.0	0.0	378.25	66.75	0.0
ANCBFM	A	N	C	B	F	M	0.0	0.0	0.0	18.7	3.3	0.0
ANCBFN	A	N	C	B	F	N	0.0	0.0	0.0	74.865	13.95	4.185
ANCBFO	A	N	C	B	F	O	0.0	0.0	0.0	216.54500000000002	40.35	12.105
ANCBGG	A	N	C	B	G	G	0.0	0.0	0.0	283.05	49.949999999999996	0.0
ANCBGI	A	N	C	B	G	I	0.0	0.0	0.0	136.0	24.0	0.0
ANCBGJ	A	N	C	B	G	J	0.0	0.0	0.0	544.85	96.14999999999999	0.0
ANCBGK	A	N	C	B	G	K	0.0	0.0	0.0	3482.45	614.55	0.0
ANCBGM	A	N	C	B	G	M	0.0	0.0	0.0	17.549999999999997	4.05	5.4
ANCBGN	A	N	C	B	G	N	0.0	0.0	0.0	30.550000000000004	7.05	9.4
ANCBGO	A	N	C	B	G	O	0.0	0.0	0.0	378.95	87.45	116.60000000000001
ANCBHF	A	N	C	B	H	F	0.0	0.0	0.0	43.35	7.6499999999999995	0.0
ANCBII	A	N	C	B	I	I	0.0	0.0	0.0	19.55	3.4499999999999997	0.0
ANCBIK	A	N	C	B	I	K	0.0	0.0	0.0	172.55	30.45	0.0
ANCBIN	A	N	C	B	I	N	0.0	0.0	0.0	17.85	3.15	0.0
ANCBIO	A	N	C	B	I	O	0.0	0.0	0.0	48.45	8.549999999999999	0.0
ANCGCF	A	N	C	G	C	F	0.0	0.0	0.0	39.95	7.05	0.0
ANCGCI	A	N	C	G	C	I	0.0	0.0	0.0	21.25	3.75	0.0
ANCGCJ	A	N	C	G	C	J	0.0	0.0	0.0	24.65	4.35	0.0
ANCGCK	A	N	C	G	C	K	0.0	0.0	0.0	24.65	4.35	0.0
ANCGCM	A	N	C	G	C	M	0.0	0.0	0.0	18.7	3.3	0.0
ANCGCN	A	N	C	G	C	N	0.0	0.0	0.0	56.35	10.5	3.15
ANCGCO	A	N	C	G	C	O	0.0	0.0	0.0	148.925	27.75	8.325
