strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
ANGGFS	A	N	G	G	F	S	0.0	0.0	0.0	164.42999999999998	1.74	7.83
ANGBFS	A	N	G	B	F	S	0.0	0.0	0.0	1316.385	13.93	62.684999999999995
ANGLFS	A	N	G	L	F	S	0.0	0.0	0.0	1538.46	16.28	73.25999999999999
ANGWFS	A	N	G	W	F	S	0.0	0.0	0.0	137.97	1.46	6.569999999999999
ANGUFS	A	N	G	U	F	S	0.0	0.0	0.0	706.86	7.48	33.66
ANGOFS	A	N	G	O	F	S	0.0	0.0	0.0	288.22499999999997	3.0500000000000003	13.725
ANlGFS	A	N	l	G	F	S	292.00500000000005	0.0	0.0	0.0	3.09	13.905
ANlBFS	A	N	l	B	F	S	3065.58	0.0	0.0	0.0	32.44	145.98
ANlLFS	A	N	l	L	F	S	684.18	0.0	0.0	0.0	7.24	32.58
ANlOFS	A	N	l	O	F	S	75.60000000000001	0.0	0.0	0.0	0.8	3.5999999999999996
ANlWFS	A	N	l	W	F	S	343.98	0.0	0.0	0.0	3.64	16.38
ANlUFS	A	N	l	U	F	S	230.58	0.0	0.0	0.0	2.44	10.98
ANGGFQ	A	N	G	G	F	Q	0.0	0.0	0.0	49.47	1.53	0.0
ANGBFQ	A	N	G	B	F	Q	0.0	0.0	0.0	62.08	1.92	0.0
ANGLFQ	A	N	G	L	F	Q	0.0	0.0	0.0	107.67	3.33	0.0
ANGWFQ	A	N	G	W	F	Q	0.0	0.0	0.0	25.22	0.78	0.0
ANGUFQ	A	N	G	U	F	Q	0.0	0.0	0.0	100.88	3.12	0.0
ANGOFQ	A	N	G	O	F	Q	0.0	0.0	0.0	59.17	1.8299999999999998	0.0
ANlGFQ	A	N	l	G	F	Q	43.65	0.0	0.0	0.0	1.3499999999999999	0.0
ANlBFQ	A	N	l	B	F	Q	225.04	0.0	0.0	0.0	6.96	0.0
ANlLFQ	A	N	l	L	F	Q	67.9	0.0	0.0	0.0	2.1	0.0
ANlWFQ	A	N	l	W	F	Q	115.43	0.0	0.0	0.0	3.57	0.0
ANlUFQ	A	N	l	U	F	Q	37.83	0.0	0.0	0.0	1.17	0.0
ANlOFQ	A	N	l	O	F	Q	29.1	0.0	0.0	0.0	0.8999999999999999	0.0
ANlLFP	A	N	l	L	F	P	30.72	0.0	0.0	0.0	1.28	0.0
ANlWFP	A	N	l	W	F	P	28.8	0.0	0.0	0.0	1.2	0.0
ANGGFR	A	N	G	G	F	R	0.0	0.0	0.0	74.80000000000001	1.6	3.5999999999999996
ANGBFR	A	N	G	B	F	R	0.0	0.0	0.0	331.92499999999995	7.1000000000000005	15.975
ANGLFR	A	N	G	L	F	R	0.0	0.0	0.0	853.655	18.26	41.085
ANGWFR	A	N	G	W	F	R	0.0	0.0	0.0	192.60999999999999	4.12	9.27
ANGUFR	A	N	G	U	F	R	0.0	0.0	0.0	563.8050000000001	12.06	27.134999999999998
ANGOFR	A	N	G	O	F	R	0.0	0.0	0.0	380.545	8.14	18.314999999999998
ANlGFR	A	N	l	G	F	R	248.71	0.0	0.0	0.0	5.32	11.969999999999999
ANlBFR	A	N	l	B	F	R	1567.06	0.0	0.0	0.0	33.52	75.42
ANlLFR	A	N	l	L	F	R	536.6899999999999	0.0	0.0	0.0	11.48	25.83
