period1_covertype	period1_sizeclass	mixedfire_percentage	barkbeetle_percentage	
B	F	15.0	0.0	
B	G	15.0	0.0	
B	H	15.0	0.0	
B	I	15.0	0.0	
B	J	15.0	0.0	
B	K	15.0	0.0	
B	L	15.0	4.5	
B	M	15.0	4.5	
B	N	15.0	4.5	
B	O	15.0	4.5	
B	P	15.0	4.5	
B	Q	15.0	4.5	
B	R	15.0	4.5	
B	S	15.0	4.5	
C	F	15.0	0.0	
C	G	15.0	0.0	
C	H	15.0	0.0	
C	I	15.0	0.0	
C	J	15.0	0.0	
C	K	15.0	0.0	
C	L	15.0	4.5	
C	M	15.0	4.5	
C	N	15.0	4.5	
C	O	15.0	4.5	
C	P	15.0	4.5	
C	Q	15.0	4.5	
C	R	15.0	4.5	
C	S	15.0	4.5	
D	F	15.0	0.0	
D	G	15.0	0.0	
D	H	15.0	0.0	
D	I	15.0	0.0	
D	J	15.0	0.0	
D	K	15.0	0.0	
D	L	15.0	4.5	
D	M	15.0	4.5	
D	N	15.0	4.5	
D	O	15.0	4.5	
D	P	15.0	4.5	
D	Q	15.0	4.5	
D	R	15.0	4.5	
D	S	15.0	4.5	
E	F	15.0	0.0	
E	G	15.0	0.0	
E	H	15.0	0.0	
E	I	15.0	0.0	
E	J	15.0	0.0	
E	K	15.0	0.0	
E	L	15.0	20.0	
E	M	15.0	20.0	
E	N	15.0	20.0	
E	O	15.0	20.0	
E	P	15.0	20.0	
E	Q	15.0	20.0	
E	R	15.0	20.0	
E	S	15.0	20.0	
F	F	15.0	0.0	
F	G	15.0	0.0	
F	H	15.0	0.0	
F	I	15.0	0.0	
F	J	15.0	0.0	
F	K	15.0	0.0	
F	L	15.0	4.5	
F	M	15.0	4.5	
F	N	15.0	4.5	
F	O	15.0	4.5	
F	P	15.0	4.5	
F	Q	15.0	4.5	
F	R	15.0	4.5	
F	S	15.0	4.5	
G	F	15.0	0.0	
G	G	15.0	0.0	
G	H	15.0	0.0	
G	I	15.0	0.0	
G	J	15.0	0.0	
G	K	15.0	0.0	
G	L	15.0	20.0	
G	M	15.0	20.0	
G	N	15.0	20.0	
G	O	15.0	20.0	
G	P	15.0	20.0	
G	Q	15.0	20.0	
G	R	15.0	20.0	
G	S	15.0	20.0	
H	F	15.0	0.0	
H	G	15.0	0.0	
H	H	15.0	0.0	
H	I	15.0	0.0	
H	J	15.0	0.0	
H	K	15.0	0.0	
H	L	15.0	0.0	
H	M	15.0	0.0	
H	N	15.0	0.0	
H	O	15.0	0.0	
H	P	15.0	0.0	
H	Q	15.0	0.0	
H	R	15.0	0.0	
H	S	15.0	0.0	
I	F	15.0	0.0	
I	G	15.0	0.0	
I	H	15.0	0.0	
I	I	15.0	0.0	
I	J	15.0	0.0	
I	K	15.0	0.0	
I	L	15.0	4.5	
I	M	15.0	4.5	
I	N	15.0	4.5	
I	O	15.0	4.5	
I	P	15.0	4.5	
I	Q	15.0	4.5	
I	R	15.0	4.5	
I	S	15.0	4.5	
