strata_id	layer1	layer2	layer3	layer4	layer5	layer6	area	age_class	model_strata	
A_C_1_O_D_F	A	C	1	O	D	F	22.0	1	true	
A_C_1_U_D_F	A	C	1	U	D	F	48.0	1	true	
A_C_3_L_D_F	A	C	3	L	D	F	248.0	1	true	
A_C_3_L_D_I	A	C	3	L	D	I	159.0	3	true	
A_C_3_L_D_M	A	C	3	L	D	M	22.0	6	true	
A_C_3_L_D_O	A	C	3	L	D	O	57.0	6	true	
A_C_3_L_E_J	A	C	3	L	E	J	202.0	3	true	
A_C_3_L_F_H	A	C	3	L	F	H	41.0	3	true	
A_C_3_L_F_M	A	C	3	L	F	M	58.0	6	true	
A_C_3_L_G_I	A	C	3	L	G	I	217.0	3	true	
A_C_3_L_G_J	A	C	3	L	G	J	258.0	3	true	
A_C_3_L_G_K	A	C	3	L	G	K	139.0	3	true	
A_C_3_L_G_O	A	C	3	L	G	O	64.0	6	true	
A_C_3_L_H_F	A	C	3	L	H	F	111.0	1	true	
A_C_3_L_H_N	A	C	3	L	H	N	109.0	6	true	
A_C_3_L_I_F	A	C	3	L	I	F	97.0	1	true	
A_C_3_L_I_I	A	C	3	L	I	I	128.0	3	true	
A_C_3_L_I_K	A	C	3	L	I	K	129.0	3	true	
A_C_3_L_I_M	A	C	3	L	I	M	22.0	6	true	
A_C_3_L_I_N	A	C	3	L	I	N	46.0	6	true	
A_C_3_O_C_G	A	C	3	O	C	G	34.0	1	true	
A_C_3_O_D_F	A	C	3	O	D	F	473.0	1	true	
A_C_3_O_D_I	A	C	3	O	D	I	111.0	3	true	
A_C_3_O_D_M	A	C	3	O	D	M	45.0	6	true	
A_C_3_O_D_N	A	C	3	O	D	N	232.0	6	true	
A_C_3_O_E_J	A	C	3	O	E	J	323.0	3	true	
A_C_3_O_E_K	A	C	3	O	E	K	109.0	3	true	
A_C_3_O_E_O	A	C	3	O	E	O	110.0	6	true	
A_C_3_O_G_G	A	C	3	O	G	G	109.0	1	true	
A_C_3_O_G_I	A	C	3	O	G	I	129.0	3	true	
A_C_3_O_G_J	A	C	3	O	G	J	183.0	3	true	
A_C_3_O_G_K	A	C	3	O	G	K	495.0	3	true	
A_C_3_O_H_F	A	C	3	O	H	F	159.0	1	true	
A_C_3_O_I_F	A	C	3	O	I	F	70.0	1	true	
A_C_3_O_I_K	A	C	3	O	I	K	26.0	3	true	
A_C_3_U_D_O	A	C	3	U	D	O	41.0	6	true	
A_C_4_G_D_F	A	C	4	G	D	F	46.0	1	true	
A_C_4_O_D_F	A	C	4	O	D	F	166.0	1	true	
A_C_4_O_D_H	A	C	4	O	D	H	38.0	3	true	
A_C_4_O_D_J	A	C	4	O	D	J	51.0	3	true	
A_C_4_O_D_M	A	C	4	O	D	M	96.0	6	true	
A_C_4_O_D_N	A	C	4	O	D	N	328.0	6	true	
A_C_4_O_H_F	A	C	4	O	H	F	26.0	1	true	
A_C_4_U_D_F	A	C	4	U	D	F	67.0	1	true	
A_C_4_U_D_M	A	C	4	U	D	M	35.0	6	true	
A_C_4_U_D_N	A	C	4	U	D	N	34.0	6	true	
A_C_5_B_D_F	A	C	5	B	D	F	57.0	1	true	
A_C_5_B_D_H	A	C	5	B	D	H	145.0	3	true	
A_C_5_B_D_I	A	C	5	B	D	I	192.0	3	true	
A_C_5_B_D_J	A	C	5	B	D	J	272.0	3	true	
A_C_5_B_D_K	A	C	5	B	D	K	764.0	3	true	
A_C_5_B_D_M	A	C	5	B	D	M	82.0	6	true	
A_C_5_B_D_N	A	C	5	B	D	N	258.0	6	true	
A_C_5_B_D_O	A	C	5	B	D	O	987.0	6	true	
A_C_5_B_D_S	A	C	5	B	D	S	46.0	10	true	
A_C_5_B_E_G	A	C	5	B	E	G	58.0	1	true	
A_C_5_B_E_J	A	C	5	B	E	J	311.0	3	true	
A_C_5_B_E_K	A	C	5	B	E	K	1193.0	3	true	
A_C_5_B_E_N	A	C	5	B	E	N	106.0	6	true	
A_C_5_B_E_O	A	C	5	B	E	O	210.0	6	true	
A_C_5_B_F_I	A	C	5	B	F	I	234.0	3	true	
A_C_5_B_F_J	A	C	5	B	F	J	254.0	3	true	
A_C_5_B_F_K	A	C	5	B	F	K	524.0	3	true	
A_C_5_B_F_M	A	C	5	B	F	M	36.0	6	true	
A_C_5_B_F_N	A	C	5	B	F	N	108.0	6	true	
A_C_5_B_F_O	A	C	5	B	F	O	359.0	6	true	
A_C_5_B_G_G	A	C	5	B	G	G	217.0	1	true	
A_C_5_B_G_I	A	C	5	B	G	I	135.0	3	true	
A_C_5_B_G_J	A	C	5	B	G	J	387.0	3	true	
A_C_5_B_G_K	A	C	5	B	G	K	1719.0	3	true	
A_C_5_B_G_O	A	C	5	B	G	O	314.0	6	true	
A_C_5_B_I_F	A	C	5	B	I	F	22.0	1	true	
A_C_5_B_I_K	A	C	5	B	I	K	71.0	3	true	
