attribute	data_type	min_value	max_value	unique_values	merging_method	relaxed_percentage	relaxed_number	implementation	
prescription	TEXT	B_EA_R_12_0	U_Z_NG_E_0	3319	exact	null	null	true	
row_id	NUMERIC	0	24	25	exact	null	null	true	
caseid	TEXT	00359ddf-7d7e-48f1-a4c1-fcb129532f7e	ffa9501d-0702-4834-953d-23134c15363d	840	exact	null	null	false	
age_class	NUMERIC	1	34	34	exact	null	null	false	
standid	TEXT	A-C-F	B-U-N	245	exact	null	null	false	
grp	TEXT	A	B	2	exact	null	null	false	
vegt	TEXT	B	U	9	exact	null	null	false	
strcl	TEXT	F	Z	15	exact	null	null	false	
plot	TEXT			1	exact	null	null	false	
rx	TEXT	A-C-EXT-++++GO	B-B-REG-2++4PB	91	exact	null	null	false	
timing	TEXT	T00	T24	16	exact	null	null	false	
year	NUMERIC	2016	2256	25	exact	null	null	false	
age	NUMERIC	10	340	34	exact	null	null	false	
ba	NUMERIC	0	318	305	exact	null	null	false	
qmd	NUMERIC	0	30	236	exact	null	null	false	
tpa	NUMERIC	0	2951	987	exact	null	null	false	
topht	NUMERIC	0	102	95	exact	null	null	false	
culmmai	TEXT		584.4333333	11859	exact	null	null	false	
bdft	NUMERIC	0	55307	9981	exact	null	null	false	
mcuft	NUMERIC	0	10110	5327	exact	null	null	false	
rbdft	NUMERIC	0	48317	2448	exact	null	null	false	
rmcuft	NUMERIC	0	8680	1939	exact	null	null	false	
lpbtl	NUMERIC	0	3	4	exact	null	null	false	
ppbtl	NUMERIC	0	3	4	exact	null	null	false	
dfbtl	NUMERIC	0	3	4	exact	null	null	false	
bdwtsm	NUMERIC	0	3	4	exact	null	null	false	
fire_type_sev	TEXT	ACTIVE	SURFACE	4	exact	null	null	false	
fire_type_mod	TEXT	PASSIVE	SURFACE	2	exact	null	null	false	
snags_me	NUMERIC	0	457.4	328	exact	null	null	false	
snags_la	NUMERIC	0	24.1	123	exact	null	null	false	
af_tpa_l	NUMERIC	0	47.5	249	exact	null	null	false	
as_tpa_l	NUMERIC	0	54.2	202	exact	null	null	false	
df_tpa_l	NUMERIC	0	54	393	exact	null	null	false	
es_tpa_l	NUMERIC	0	57	325	exact	null	null	false	
ga_tpa_l	NUMERIC	0	2.7	15	exact	null	null	false	
lp_tpa_l	NUMERIC	0	38.4	208	exact	null	null	false	
pf_tpa_l	NUMERIC	0	12.2	51	exact	null	null	false	
pp_tpa_l	NUMERIC	0	63.1	421	exact	null	null	false	
rm_tpa_l	NUMERIC	0	7.4	44	exact	null	null	false	
wb_tpa_l	NUMERIC	0	14	102	exact	null	null	false	
wl_tpa_l	NUMERIC	0	0	1	exact	null	null	false	
carbon	NUMERIC	0	204.2	1078	exact	null	null	false	
debris_d	NUMERIC	0	181.6	338	exact	null	null	false	
domgrp6040	TEXT	ABLA	TMIX	34	exact	null	null	false	
dvegtype	TEXT	B	U	10	exact	null	null	false	
dstructclass	TEXT	F	Z	15	exact	null	null	false	
broadpvt	TEXT	CM	WD	4	exact	null	null	false	
lynx_ms	NUMERIC	0	1	2	exact	null	null	false	
lynx_si	NUMERIC	0	1	2	exact	null	null	false	
prpipo	NUMERIC	0	1	2	exact	null	null	false	
prpial	NUMERIC	0	1	2	exact	null	null	false	
prpotr	NUMERIC	0	1	2	exact	null	null	false	
prfrpe	NUMERIC	0	1	2	exact	null	null	false	
prpifl	NUMERIC	0	1	2	exact	null	null	false	
percpipo	NUMERIC	0	1.02	103	exact	null	null	false	
percpial	NUMERIC	0	1.1	104	exact	null	null	false	
percpotr	NUMERIC	0	0.97	95	exact	null	null	false	
percfrpe	NUMERIC	0	0.8	81	exact	null	null	false	
percpifl	NUMERIC	0	1.01	98	exact	null	null	false	
lrgtpa	NUMERIC	0	144.19	5149	exact	null	null	false	
lrgtpa_th	NUMERIC	0	10	4	exact	null	null	false	
lrgtpa_lab	NUMERIC	0	1	2	exact	null	null	false	
action_type	TEXT	bb	ub	14	exact	null	null	false	
openingpct	NUMERIC	0	0.9	21	exact	null	null	false	
silv_method	TEXT	BS	PB	6	exact	null	null	false	
extreg	TEXT	E	R	2	exact	null	null	false	
rotationage	NUMERIC	1	999	23	exact	null	null	false	
timingchoice	NUMERIC	0	7	8	exact	null	null	false	
