var_id	var_name	var_value	var_reduced_cost
5	xNG_E_A_C_1_U_D_F_0_10	48.0	0.0
6	xNG_E_A_C_1_U_D_F_0_11	48.0	0.0
7	xNG_E_A_C_1_U_D_F_0_12	48.0	0.0
8	xNG_E_A_C_1_U_D_F_0_13	48.0	0.0
9	xNG_E_A_C_1_U_D_F_0_14	48.0	0.0
10	xNG_E_A_C_3_L_D_F_0_10	248.0	0.0
11	xNG_E_A_C_3_L_D_F_0_11	248.0	0.0
12	xNG_E_A_C_3_L_D_F_0_12	248.0	0.0
13	xNG_E_A_C_3_L_D_F_0_13	248.0	0.0
14	xNG_E_A_C_3_L_D_F_0_14	248.0	0.0
15	xNG_E_A_C_3_L_D_I_0_10	159.0	0.0
16	xNG_E_A_C_3_L_D_I_0_11	159.0	0.0
17	xNG_E_A_C_3_L_D_I_0_12	159.0	0.0
18	xNG_E_A_C_3_L_D_I_0_13	159.0	0.0
19	xNG_E_A_C_3_L_D_I_0_14	159.0	0.0
20	xNG_E_A_C_3_L_D_M_0_10	22.0	0.0
21	xNG_E_A_C_3_L_D_M_0_11	22.0	0.0
22	xNG_E_A_C_3_L_D_M_0_12	22.0	0.0
23	xNG_E_A_C_3_L_D_M_0_13	22.0	0.0
24	xNG_E_A_C_3_L_D_M_0_14	22.0	0.0
25	xNG_E_A_C_3_L_D_O_0_10	57.0	0.0
26	xNG_E_A_C_3_L_D_O_0_11	57.0	0.0
27	xNG_E_A_C_3_L_D_O_0_12	57.0	0.0
28	xNG_E_A_C_3_L_D_O_0_13	57.0	0.0
29	xNG_E_A_C_3_L_D_O_0_14	57.0	0.0
30	xNG_E_A_C_3_L_E_J_0_10	202.0	0.0
31	xNG_E_A_C_3_L_E_J_0_11	202.0	0.0
32	xNG_E_A_C_3_L_E_J_0_12	202.0	0.0
33	xNG_E_A_C_3_L_E_J_0_13	202.0	0.0
34	xNG_E_A_C_3_L_E_J_0_14	202.0	0.0
35	xNG_E_A_C_3_L_F_H_0_10	41.0	0.0
36	xNG_E_A_C_3_L_F_H_0_11	41.0	0.0
37	xNG_E_A_C_3_L_F_H_0_12	41.0	0.0
38	xNG_E_A_C_3_L_F_H_0_13	41.0	0.0
39	xNG_E_A_C_3_L_F_H_0_14	41.0	0.0
40	xNG_E_A_C_3_L_F_M_0_10	58.0	0.0
41	xNG_E_A_C_3_L_F_M_0_11	58.0	0.0
42	xNG_E_A_C_3_L_F_M_0_12	58.0	0.0
43	xNG_E_A_C_3_L_F_M_0_13	58.0	0.0
