strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
AN1BDF	A	N	1	B	D	F	3971.88	0.0	0.0	0.0	40.12	0.0
AN1BDG	A	N	1	B	D	G	242.55	0.0	0.0	0.0	2.45	0.0
AN1BDH	A	N	1	B	D	H	689.04	0.0	0.0	0.0	6.96	0.0
AN1BDI	A	N	1	B	D	I	967.23	0.0	0.0	0.0	9.77	0.0
AN1BDJ	A	N	1	B	D	J	1274.13	0.0	0.0	0.0	12.870000000000001	0.0
AN1BDK	A	N	1	B	D	K	2014.65	0.0	0.0	0.0	20.35	0.0
AN1BDL	A	N	1	B	D	L	127.71	0.0	0.0	0.0	1.29	0.0
AN1BDM	A	N	1	B	D	M	892.98	0.0	0.0	0.0	9.02	0.0
AN1BDN	A	N	1	B	D	N	3496.6400000000003	0.0	0.0	0.0	35.68	35.68
AN1BDO	A	N	1	B	D	O	12866.419999999998	0.0	0.0	0.0	131.29	131.29
AN1BDR	A	N	1	B	D	R	161.7	0.0	0.0	0.0	1.6500000000000001	1.6500000000000001
AN1BDS	A	N	1	B	D	S	327.32000000000005	0.0	0.0	0.0	3.34	3.34
AN1BEF	A	N	1	B	E	F	209.88	0.0	0.0	0.0	2.12	0.0
AN1BEG	A	N	1	B	E	G	492.03	0.0	0.0	0.0	4.97	0.0
AN1BEH	A	N	1	B	E	H	174.24	0.0	0.0	0.0	1.76	0.0
AN1BEI	A	N	1	B	E	I	574.2	0.0	0.0	0.0	5.8	0.0
AN1BEJ	A	N	1	B	E	J	1706.76	0.0	0.0	0.0	17.240000000000002	0.0
AN1BEK	A	N	1	B	E	K	4026.33	0.0	0.0	0.0	40.67	0.0
AN1BEL	A	N	1	B	E	L	58.8	0.0	0.0	0.0	0.6	0.6
AN1BEM	A	N	1	B	E	M	117.6	0.0	0.0	0.0	1.2	1.2
AN1BEN	A	N	1	B	E	N	914.3399999999999	0.0	0.0	0.0	9.33	9.33
AN1BEO	A	N	1	B	E	O	10541.86	0.0	0.0	0.0	107.57000000000001	107.57000000000001
AN1BFF	A	N	1	B	F	F	1480.05	0.0	0.0	0.0	14.950000000000001	0.0
AN1BFG	A	N	1	B	F	G	591.03	0.0	0.0	0.0	5.97	0.0
AN1BFH	A	N	1	B	F	H	1490.94	0.0	0.0	0.0	15.06	0.0
AN1BFI	A	N	1	B	F	I	2064.15	0.0	0.0	0.0	20.85	0.0
AN1BFJ	A	N	1	B	F	J	2211.66	0.0	0.0	0.0	22.34	0.0
AN1BFK	A	N	1	B	F	K	3251.16	0.0	0.0	0.0	32.84	0.0
AN1BFL	A	N	1	B	F	L	395.01	0.0	0.0	0.0	3.99	0.0
AN1BFM	A	N	1	B	F	M	2119.59	0.0	0.0	0.0	21.41	0.0
AN1BFN	A	N	1	B	F	N	7682.219999999999	0.0	0.0	0.0	78.39	78.39
AN1BFO	A	N	1	B	F	O	33525.8	0.0	0.0	0.0	342.1	342.1
AN1BFQ	A	N	1	B	F	Q	56.43	0.0	0.0	0.0	0.5700000000000001	0.0
AN1BFR	A	N	1	B	F	R	465.5	0.0	0.0	0.0	4.75	4.75
AN1BFS	A	N	1	B	F	S	1255.38	0.0	0.0	0.0	12.81	12.81
AN1BGF	A	N	1	B	G	F	9083.25	0.0	0.0	0.0	91.75	0.0
AN1BGG	A	N	1	B	G	G	5756.85	0.0	0.0	0.0	58.15	0.0
AN1BGH	A	N	1	B	G	H	960.3	0.0	0.0	0.0	9.700000000000001	0.0
AN1BGI	A	N	1	B	G	I	3130.38	0.0	0.0	0.0	31.62	0.0
AN1BGJ	A	N	1	B	G	J	7836.84	0.0	0.0	0.0	79.16	0.0
AN1BGK	A	N	1	B	G	K	25942.95	0.0	0.0	0.0	262.05	0.0
AN1BGL	A	N	1	B	G	L	85.25999999999999	0.0	0.0	0.0	0.87	0.87
AN1BGM	A	N	1	B	G	M	652.6800000000001	0.0	0.0	0.0	6.66	6.66
AN1BGN	A	N	1	B	G	N	4621.68	0.0	0.0	0.0	47.160000000000004	47.160000000000004
AN1BGO	A	N	1	B	G	O	64841.7	0.0	0.0	0.0	661.65	661.65
AN1BGS	A	N	1	B	G	S	57.81999999999999	0.0	0.0	0.0	0.59	0.59
AN1BHF	A	N	1	B	H	F	4183.74	0.0	0.0	0.0	42.26	0.0
AN1BHG	A	N	1	B	H	G	75.24	0.0	0.0	0.0	0.76	0.0
AN1BHH	A	N	1	B	H	H	1178.1	0.0	0.0	0.0	11.9	0.0
AN1BHI	A	N	1	B	H	I	1643.4	0.0	0.0	0.0	16.6	0.0
AN1BHJ	A	N	1	B	H	J	1716.66	0.0	0.0	0.0	17.34	0.0
AN1BHK	A	N	1	B	H	K	1809.72	0.0	0.0	0.0	18.28	0.0
AN1BHL	A	N	1	B	H	L	423.72	0.0	0.0	0.0	4.28	0.0
AN1BHM	A	N	1	B	H	M	2051.28	0.0	0.0	0.0	20.72	0.0
AN1BHN	A	N	1	B	H	N	7810.11	0.0	0.0	0.0	78.89	0.0
AN1BHO	A	N	1	B	H	O	42559.11	0.0	0.0	0.0	429.89	0.0
AN1BHQ	A	N	1	B	H	Q	66.33	0.0	0.0	0.0	0.67	0.0
AN1BHR	A	N	1	B	H	R	318.78	0.0	0.0	0.0	3.22	0.0
AN1BHS	A	N	1	B	H	S	1059.3	0.0	0.0	0.0	10.700000000000001	0.0
AN1BIF	A	N	1	B	I	F	4189.68	0.0	0.0	0.0	42.32	0.0
AN1BIG	A	N	1	B	I	G	1480.05	0.0	0.0	0.0	14.950000000000001	0.0
AN1BIH	A	N	1	B	I	H	2936.34	0.0	0.0	0.0	29.66	0.0
AN1BII	A	N	1	B	I	I	4244.13	0.0	0.0	0.0	42.87	0.0
AN1BIJ	A	N	1	B	I	J	5671.71	0.0	0.0	0.0	57.29	0.0
AN1BIK	A	N	1	B	I	K	10801.89	0.0	0.0	0.0	109.11	0.0
AN1BIL	A	N	1	B	I	L	531.63	0.0	0.0	0.0	5.37	0.0
AN1BIM	A	N	1	B	I	M	2502.72	0.0	0.0	0.0	25.28	0.0
AN1BIN	A	N	1	B	I	N	7657.65	0.0	0.0	0.0	77.35000000000001	0.0
AN1BIO	A	N	1	B	I	O	41799.78	0.0	0.0	0.0	422.22	0.0
AN1BIQ	A	N	1	B	I	Q	37.62	0.0	0.0	0.0	0.38	0.0
AN1BIR	A	N	1	B	I	R	96.03	0.0	0.0	0.0	0.97	0.0
AN1BIS	A	N	1	B	I	S	273.24	0.0	0.0	0.0	2.7600000000000002	0.0
AN1GCM	A	N	1	G	C	M	24.75	0.0	0.0	0.0	0.25	0.0
AN1GCO	A	N	1	G	C	O	24.5	0.0	0.0	0.0	0.25	0.25
AN1GDF	A	N	1	G	D	F	15968.7	0.0	0.0	0.0	161.3	0.0
AN1GDG	A	N	1	G	D	G	204.93	0.0	0.0	0.0	2.07	0.0
AN1GDH	A	N	1	G	D	H	1091.97	0.0	0.0	0.0	11.03	0.0
AN1GDI	A	N	1	G	D	I	940.5	0.0	0.0	0.0	9.5	0.0
AN1GDJ	A	N	1	G	D	J	877.14	0.0	0.0	0.0	8.86	0.0
AN1GDK	A	N	1	G	D	K	964.26	0.0	0.0	0.0	9.74	0.0
AN1GDL	A	N	1	G	D	L	389.07	0.0	0.0	0.0	3.93	0.0
AN1GDM	A	N	1	G	D	M	978.12	0.0	0.0	0.0	9.88	0.0
AN1GDN	A	N	1	G	D	N	2500.96	0.0	0.0	0.0	25.52	25.52
AN1GDO	A	N	1	G	D	O	6722.799999999999	0.0	0.0	0.0	68.60000000000001	68.60000000000001
AN1GDR	A	N	1	G	D	R	127.39999999999999	0.0	0.0	0.0	1.3	1.3
AN1GDS	A	N	1	G	D	S	141.12	0.0	0.0	0.0	1.44	1.44
AN1GEF	A	N	1	G	E	F	254.43	0.0	0.0	0.0	2.57	0.0
AN1GEG	A	N	1	G	E	G	85.14	0.0	0.0	0.0	0.86	0.0
AN1GEH	A	N	1	G	E	H	170.28	0.0	0.0	0.0	1.72	0.0
AN1GEI	A	N	1	G	E	I	301.95	0.0	0.0	0.0	3.0500000000000003	0.0
AN1GEJ	A	N	1	G	E	J	652.41	0.0	0.0	0.0	6.59	0.0
AN1GEK	A	N	1	G	E	K	2264.13	0.0	0.0	0.0	22.87	0.0
AN1GEL	A	N	1	G	E	L	191.10000000000002	0.0	0.0	0.0	1.95	1.95
AN1GEM	A	N	1	G	E	M	164.64	0.0	0.0	0.0	1.68	1.68
AN1GEN	A	N	1	G	E	N	729.1199999999999	0.0	0.0	0.0	7.44	7.44
AN1GEO	A	N	1	G	E	O	2901.7799999999997	0.0	0.0	0.0	29.61	29.61
AN1GFF	A	N	1	G	F	F	305.91	0.0	0.0	0.0	3.09	0.0
AN1GFG	A	N	1	G	F	G	107.91	0.0	0.0	0.0	1.09	0.0
AN1GFH	A	N	1	G	F	H	513.81	0.0	0.0	0.0	5.19	0.0
AN1GFI	A	N	1	G	F	I	696.96	0.0	0.0	0.0	7.04	0.0
AN1GFJ	A	N	1	G	F	J	682.11	0.0	0.0	0.0	6.890000000000001	0.0
AN1GFK	A	N	1	G	F	K	746.46	0.0	0.0	0.0	7.54	0.0
AN1GFL	A	N	1	G	F	L	75.24	0.0	0.0	0.0	0.76	0.0
AN1GFM	A	N	1	G	F	M	415.8	0.0	0.0	0.0	4.2	0.0
AN1GFN	A	N	1	G	F	N	1728.7199999999998	0.0	0.0	0.0	17.64	17.64
AN1GFO	A	N	1	G	F	O	7749.84	0.0	0.0	0.0	79.08	79.08
AN1GFQ	A	N	1	G	F	Q	36.63	0.0	0.0	0.0	0.37	0.0
AN1GFR	A	N	1	G	F	R	105.84	0.0	0.0	0.0	1.08	1.08
AN1GFS	A	N	1	G	F	S	180.32	0.0	0.0	0.0	1.84	1.84
AN1GGF	A	N	1	G	G	F	428.67	0.0	0.0	0.0	4.33	0.0
AN1GGG	A	N	1	G	G	G	441.54	0.0	0.0	0.0	4.46	0.0
