strata_id	layer1	layer2	layer3	layer4	layer5	layer6	area	age_class	model_strata	
A_N_C_B_D_F	A	N	C	B	D	F	484.0	1	true	
A_N_C_B_D_G	A	N	C	B	D	G	20.0	1	true	
A_N_C_B_D_I	A	N	C	B	D	I	191.0	3	true	
A_N_C_B_D_J	A	N	C	B	D	J	351.0	3	true	
A_N_C_B_D_K	A	N	C	B	D	K	898.0	3	true	
A_N_C_B_D_M	A	N	C	B	D	M	57.0	6	true	
A_N_C_B_D_N	A	N	C	B	D	N	384.0	6	true	
A_N_C_B_D_O	A	N	C	B	D	O	1026.0	6	true	
A_N_C_B_D_S	A	N	C	B	D	S	38.0	10	true	
A_N_C_B_E_G	A	N	C	B	E	G	131.0	1	true	
A_N_C_B_E_I	A	N	C	B	E	I	96.0	3	true	
A_N_C_B_E_J	A	N	C	B	E	J	354.0	3	true	
A_N_C_B_E_K	A	N	C	B	E	K	2168.0	3	true	
A_N_C_B_E_M	A	N	C	B	E	M	35.0	6	true	
A_N_C_B_E_N	A	N	C	B	E	N	196.0	6	true	
A_N_C_B_E_O	A	N	C	B	E	O	594.0	6	true	
A_N_C_B_F_G	A	N	C	B	F	G	41.0	1	true	
A_N_C_B_F_I	A	N	C	B	F	I	189.0	3	true	
A_N_C_B_F_J	A	N	C	B	F	J	306.0	3	true	
A_N_C_B_F_K	A	N	C	B	F	K	445.0	3	true	
A_N_C_B_F_M	A	N	C	B	F	M	22.0	6	true	
A_N_C_B_F_N	A	N	C	B	F	N	93.0	6	true	
A_N_C_B_F_O	A	N	C	B	F	O	269.0	6	true	
A_N_C_B_G_G	A	N	C	B	G	G	333.0	1	true	
A_N_C_B_G_I	A	N	C	B	G	I	160.0	3	true	
A_N_C_B_G_J	A	N	C	B	G	J	641.0	3	true	
A_N_C_B_G_K	A	N	C	B	G	K	4097.0	3	true	
A_N_C_B_G_M	A	N	C	B	G	M	27.0	6	true	
A_N_C_B_G_N	A	N	C	B	G	N	47.0	6	true	
A_N_C_B_G_O	A	N	C	B	G	O	583.0	6	true	
A_N_C_B_H_F	A	N	C	B	H	F	51.0	1	true	
A_N_C_B_I_I	A	N	C	B	I	I	23.0	3	true	
A_N_C_B_I_K	A	N	C	B	I	K	203.0	3	true	
A_N_C_B_I_N	A	N	C	B	I	N	21.0	6	true	
A_N_C_B_I_O	A	N	C	B	I	O	57.0	6	true	
A_N_C_G_C_F	A	N	C	G	C	F	47.0	1	true	
A_N_C_G_C_I	A	N	C	G	C	I	25.0	3	true	
A_N_C_G_C_J	A	N	C	G	C	J	29.0	3	true	
A_N_C_G_C_K	A	N	C	G	C	K	29.0	3	true	
A_N_C_G_C_M	A	N	C	G	C	M	22.0	6	true	
A_N_C_G_C_N	A	N	C	G	C	N	70.0	6	true	
A_N_C_G_C_O	A	N	C	G	C	O	185.0	6	true	
A_N_C_G_D_F	A	N	C	G	D	F	2853.0	1	true	
A_N_C_G_D_G	A	N	C	G	D	G	50.0	1	true	
A_N_C_G_D_I	A	N	C	G	D	I	411.0	3	true	
A_N_C_G_D_J	A	N	C	G	D	J	622.0	3	true	
A_N_C_G_D_K	A	N	C	G	D	K	994.0	3	true	
A_N_C_G_D_M	A	N	C	G	D	M	777.0	6	true	
A_N_C_G_D_N	A	N	C	G	D	N	2260.0	6	true	
A_N_C_G_D_O	A	N	C	G	D	O	2666.0	6	true	
A_N_C_G_D_R	A	N	C	G	D	R	33.0	10	true	
A_N_C_G_E_F	A	N	C	G	E	F	23.0	1	true	
A_N_C_G_E_G	A	N	C	G	E	G	133.0	1	true	
A_N_C_G_E_I	A	N	C	G	E	I	51.0	3	true	
A_N_C_G_E_J	A	N	C	G	E	J	648.0	3	true	
A_N_C_G_E_K	A	N	C	G	E	K	1384.0	3	true	
A_N_C_G_E_M	A	N	C	G	E	M	35.0	6	true	
A_N_C_G_E_N	A	N	C	G	E	N	390.0	6	true	
A_N_C_G_E_O	A	N	C	G	E	O	874.0	6	true	
A_N_C_G_F_I	A	N	C	G	F	I	65.0	3	true	
A_N_C_G_F_J	A	N	C	G	F	J	181.0	3	true	
A_N_C_G_F_K	A	N	C	G	F	K	230.0	3	true	
A_N_C_G_F_M	A	N	C	G	F	M	49.0	6	true	
A_N_C_G_F_N	A	N	C	G	F	N	117.0	6	true	
A_N_C_G_F_O	A	N	C	G	F	O	346.0	6	true	
A_N_C_G_G_G	A	N	C	G	G	G	213.0	1	true	
A_N_C_G_G_I	A	N	C	G	G	I	103.0	3	true	
A_N_C_G_G_J	A	N	C	G	G	J	338.0	3	true	
A_N_C_G_G_K	A	N	C	G	G	K	2004.0	3	true	
A_N_C_G_G_N	A	N	C	G	G	N	195.0	6	true	
A_N_C_G_G_O	A	N	C	G	G	O	1139.0	6	true	
A_N_C_G_H_F	A	N	C	G	H	F	190.0	1	true	
A_N_C_G_H_I	A	N	C	G	H	I	40.0	3	true	
A_N_C_G_H_M	A	N	C	G	H	M	76.0	6	true	
A_N_C_G_H_N	A	N	C	G	H	N	147.0	6	true	
A_N_C_G_H_O	A	N	C	G	H	O	48.0	6	true	
A_N_C_G_I_G	A	N	C	G	I	G	20.0	1	true	
A_N_C_G_I_J	A	N	C	G	I	J	42.0	3	true	
A_N_C_G_I_K	A	N	C	G	I	K	362.0	3	true	
A_N_C_G_I_N	A	N	C	G	I	N	33.0	6	true	
A_N_C_G_I_O	A	N	C	G	I	O	232.0	6	true	
A_N_C_L_D_F	A	N	C	L	D	F	517.0	1	true	
A_N_C_L_D_I	A	N	C	L	D	I	230.0	3	true	
A_N_C_L_D_J	A	N	C	L	D	J	340.0	3	true	
A_N_C_L_D_K	A	N	C	L	D	K	540.0	3	false	
A_N_C_L_D_M	A	N	C	L	D	M	121.0	6	false	
A_N_C_L_D_N	A	N	C	L	D	N	297.0	6	false	
A_N_C_L_D_O	A	N	C	L	D	O	608.0	6	false	
A_N_C_L_D_S	A	N	C	L	D	S	58.0	10	false	
A_N_C_L_E_G	A	N	C	L	E	G	33.0	1	false	
A_N_C_L_E_I	A	N	C	L	E	I	114.0	3	false	
A_N_C_L_E_J	A	N	C	L	E	J	331.0	3	false	
A_N_C_L_E_K	A	N	C	L	E	K	1414.0	3	false	
A_N_C_L_E_M	A	N	C	L	E	M	22.0	6	false	
A_N_C_L_E_N	A	N	C	L	E	N	130.0	6	false	
A_N_C_L_E_O	A	N	C	L	E	O	640.0	6	false	
A_N_C_L_F_I	A	N	C	L	F	I	44.0	3	false	
A_N_C_L_F_J	A	N	C	L	F	J	147.0	3	false	
