var_id	var_name	var_value	var_reduced_cost	percentage_SR_01	var_unit_management_cost	var_method	var_forest_status	var_layer1	var_layer2	var_layer3	var_layer4	var_layer5	var_layer6	var_choice	var_period	var_age	var_rotation_period	var_rotation_age	var_regen_covertype	data_connection	prescription	row_id
1	xNG_E_A_N_C_B_D_F_0_11	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	1	11				good	D_F_NG_E_0	10
2	xNG_E_A_N_C_B_D_F_0_12	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	2	12				good	D_F_NG_E_0	11
3	xNG_E_A_N_C_B_D_F_0_13	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	3	13				good	D_F_NG_E_0	12
4	xNG_E_A_N_C_B_D_F_0_14	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	4	14				good	D_F_NG_E_0	13
5	xNG_E_A_N_C_B_D_F_0_15	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	5	15				good	D_F_NG_E_0	14
6	xNG_E_A_N_C_B_D_G_0_11	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	1	11				good	D_G_NG_E_0	10
7	xNG_E_A_N_C_B_D_G_0_12	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	2	12				good	D_G_NG_E_0	11
8	xNG_E_A_N_C_B_D_G_0_13	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	3	13				good	D_G_NG_E_0	12
9	xNG_E_A_N_C_B_D_G_0_14	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	4	14				good	D_G_NG_E_0	13
10	xNG_E_A_N_C_B_D_G_0_15	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	5	15				good	D_G_NG_E_0	14
26	xNG_E_A_N_C_B_D_M_0_11	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	1	16				good	D_M_NG_E_0	10
27	xNG_E_A_N_C_B_D_M_0_12	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	2	17				good	D_M_NG_E_0	11
28	xNG_E_A_N_C_B_D_M_0_13	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	3	18				good	D_M_NG_E_0	12
29	xNG_E_A_N_C_B_D_M_0_14	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	4	19				good	D_M_NG_E_0	13
30	xNG_E_A_N_C_B_D_M_0_15	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	5	20				good	D_M_NG_E_0	14
81	xNG_E_A_N_C_B_F_G_0_11	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	1	11				good	F_G_NG_E_0	10
82	xNG_E_A_N_C_B_F_G_0_12	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	2	12				good	F_G_NG_E_0	11
83	xNG_E_A_N_C_B_F_G_0_13	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	3	13				good	F_G_NG_E_0	12
84	xNG_E_A_N_C_B_F_G_0_14	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	4	14				good	F_G_NG_E_0	13
85	xNG_E_A_N_C_B_F_G_0_15	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	5	15				good	F_G_NG_E_0	14
136	xNG_E_A_N_C_B_G_M_0_11	27.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	M	0	1	16				good	G_M_NG_E_0	10
137	xNG_E_A_N_C_B_G_M_0_12	27.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	M	0	2	17				good	G_M_NG_E_0	11
138	xNG_E_A_N_C_B_G_M_0_13	27.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	M	0	3	18				good	G_M_NG_E_0	12
139	xNG_E_A_N_C_B_G_M_0_14	27.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	M	0	4	19				good	G_M_NG_E_0	13
140	xNG_E_A_N_C_B_G_M_0_15	27.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	M	0	5	20				good	G_M_NG_E_0	14
