iteration	NG_E_area	PB_E_area	GS_E_area	EA_E_area	MS_E_area	BS_E_area	NG_R_area	PB_R_area	GS_R_area	EA_R_area
0	36499.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	36499.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	26524.0	0.0	0.0	9975.0	0.0	0.0	0.0	0.0	0.0	0.0
3	26524.0	0.0	0.0	0.0	0.0	0.0	9975.0	0.0	0.0	0.0
4	26524.0	0.0	0.0	0.0	0.0	0.0	9975.0	0.0	0.0	0.0
5	26441.0	0.0	0.0	83.0	0.0	0.0	9975.0	0.0	0.0	0.0
6	26441.0	0.0	0.0	0.0	0.0	0.0	10058.0	0.0	0.0	0.0
7	21740.0	0.0	0.0	4701.0	0.0	0.0	10058.0	0.0	0.0	0.0
8	21397.0	0.0	0.0	343.0	0.0	0.0	14759.0	0.0	0.0	0.0
9	15427.0	0.0	0.0	5970.0	0.0	0.0	15102.0	0.0	0.0	0.0
10	7487.0	0.0	0.0	7940.0	0.0	0.0	21072.0	0.0	0.0	0.0
