prescription	row_id	state_id	
B_EA_R_12_0	0		
B_EA_R_12_0	1		
B_EA_R_12_0	2		
B_EA_R_12_0	3		
B_EA_R_12_0	4		
B_EA_R_12_0	5		
B_EA_R_12_0	6		
B_EA_R_12_0	7		
B_EA_R_12_0	8		
B_EA_R_12_0	9		
B_EA_R_12_0	10		
B_EA_R_12_0	11		
B_EA_R_12_1	0		
B_EA_R_12_1	1		
B_EA_R_12_1	2		
B_EA_R_12_1	3		
B_EA_R_12_1	4		
B_EA_R_12_1	5		
B_EA_R_12_1	6		
B_EA_R_12_1	7		
B_EA_R_12_1	8		
B_EA_R_12_1	9		
B_EA_R_12_1	10		
B_EA_R_12_1	11		
B_EA_R_13_0	0		
B_EA_R_13_0	1		
B_EA_R_13_0	2		
B_EA_R_13_0	3		
B_EA_R_13_0	4		
B_EA_R_13_0	5		
B_EA_R_13_0	6		
B_EA_R_13_0	7		
B_EA_R_13_0	8		
B_EA_R_13_0	9		
B_EA_R_13_0	10		
B_EA_R_13_0	11		
B_EA_R_13_0	12		
B_EA_R_13_1	0		
B_EA_R_13_1	1		
B_EA_R_13_1	2		
B_EA_R_13_1	3		
B_EA_R_13_1	4		
B_EA_R_13_1	5		
B_EA_R_13_1	6		
B_EA_R_13_1	7		
B_EA_R_13_1	8		
B_EA_R_13_1	9		
B_EA_R_13_1	10		
B_EA_R_13_1	11		
B_EA_R_13_1	12		
B_EA_R_14_0	0		
B_EA_R_14_0	1		
B_EA_R_14_0	2		
B_EA_R_14_0	3		
B_EA_R_14_0	4		
B_EA_R_14_0	5		
B_EA_R_14_0	6		
B_EA_R_14_0	7		
B_EA_R_14_0	8		
B_EA_R_14_0	9		
B_EA_R_14_0	10		
B_EA_R_14_0	11		
B_EA_R_14_0	12		
B_EA_R_14_0	13		
B_EA_R_14_1	0		
B_EA_R_14_1	1		
B_EA_R_14_1	2		
B_EA_R_14_1	3		
B_EA_R_14_1	4		
B_EA_R_14_1	5		
B_EA_R_14_1	6		
B_EA_R_14_1	7		
B_EA_R_14_1	8		
B_EA_R_14_1	9		
B_EA_R_14_1	10		
B_EA_R_14_1	11		
B_EA_R_14_1	12		
B_EA_R_14_1	13		
B_EA_R_15_0	0		
B_EA_R_15_0	1		
B_EA_R_15_0	2		
B_EA_R_15_0	3		
B_EA_R_15_0	4		
B_EA_R_15_0	5		
B_EA_R_15_0	6		
B_EA_R_15_0	7		
B_EA_R_15_0	8		
B_EA_R_15_0	9		
B_EA_R_15_0	10		
B_EA_R_15_0	11		
B_EA_R_15_0	12		
B_EA_R_15_0	13		
B_EA_R_15_0	14		
B_EA_R_15_1	0		
B_EA_R_15_1	1		
B_EA_R_15_1	2		
B_EA_R_15_1	3		
B_EA_R_15_1	4		
B_EA_R_15_1	5		
B_EA_R_15_1	6		
B_EA_R_15_1	7		
B_EA_R_15_1	8		
B_EA_R_15_1	9		
B_EA_R_15_1	10		
B_EA_R_15_1	11		
B_EA_R_15_1	12		
B_EA_R_15_1	13		
B_EA_R_15_1	14		
B_EA_R_16_0	0		
B_EA_R_16_0	1		
B_EA_R_16_0	2		
B_EA_R_16_0	3		
B_EA_R_16_0	4		
B_EA_R_16_0	5		
B_EA_R_16_0	6		
B_EA_R_16_0	7		
B_EA_R_16_0	8		
B_EA_R_16_0	9		
B_EA_R_16_0	10		
B_EA_R_16_0	11		
B_EA_R_16_0	12		
B_EA_R_16_0	13		
B_EA_R_16_0	14		
B_EA_R_16_0	15		
B_EA_R_16_1	0		
B_EA_R_16_1	1		
B_EA_R_16_1	2		
B_EA_R_16_1	3		
B_EA_R_16_1	4		
B_EA_R_16_1	5		
B_EA_R_16_1	6		
B_EA_R_16_1	7		
B_EA_R_16_1	8		
B_EA_R_16_1	9		
B_EA_R_16_1	10		
B_EA_R_16_1	11		
B_EA_R_16_1	12		
B_EA_R_16_1	13		
B_EA_R_16_1	14		
B_EA_R_16_1	15		
B_F_EA_E_10_0	0		
B_F_EA_E_10_0	1		
B_F_EA_E_10_0	2		
B_F_EA_E_10_0	3		
B_F_EA_E_10_0	4		
B_F_EA_E_10_0	5		
B_F_EA_E_10_0	6		
B_F_EA_E_10_0	7		
B_F_EA_E_10_0	8		
B_F_EA_E_10_0	9		
B_F_EA_E_11_0	0		
B_F_EA_E_11_0	1		
B_F_EA_E_11_0	2		
B_F_EA_E_11_0	3		
B_F_EA_E_11_0	4		
B_F_EA_E_11_0	5		
B_F_EA_E_11_0	6		
B_F_EA_E_11_0	7		
B_F_EA_E_11_0	8		
B_F_EA_E_11_0	9		
B_F_EA_E_11_0	10		
B_F_EA_E_12_0	0		
B_F_EA_E_12_0	1		
B_F_EA_E_12_0	2		
B_F_EA_E_12_0	3		
B_F_EA_E_12_0	4		
B_F_EA_E_12_0	5		
B_F_EA_E_12_0	6		
B_F_EA_E_12_0	7		
B_F_EA_E_12_0	8		
B_F_EA_E_12_0	9		
B_F_EA_E_12_0	10		
B_F_EA_E_12_0	11		
B_F_EA_E_12_1	0		
B_F_EA_E_12_1	1		
B_F_EA_E_12_1	2		
B_F_EA_E_12_1	3		
B_F_EA_E_12_1	4		
B_F_EA_E_12_1	5		
B_F_EA_E_12_1	6		
B_F_EA_E_12_1	7		
B_F_EA_E_12_1	8		
B_F_EA_E_12_1	9		
B_F_EA_E_12_1	10		
B_F_EA_E_12_1	11		
B_F_EA_E_13_0	0		
B_F_EA_E_13_0	1		
B_F_EA_E_13_0	2		
B_F_EA_E_13_0	3		
B_F_EA_E_13_0	4		
B_F_EA_E_13_0	5		
B_F_EA_E_13_0	6		
B_F_EA_E_13_0	7		
B_F_EA_E_13_0	8		
B_F_EA_E_13_0	9		
B_F_EA_E_13_0	10		
B_F_EA_E_13_0	11		
B_F_EA_E_13_0	12		
B_F_EA_E_13_1	0		
B_F_EA_E_13_1	1		
B_F_EA_E_13_1	2		
B_F_EA_E_13_1	3		
B_F_EA_E_13_1	4		
B_F_EA_E_13_1	5		
B_F_EA_E_13_1	6		
B_F_EA_E_13_1	7		
B_F_EA_E_13_1	8		
