iteration	NG_E_area	PB_E_area	GS_E_area	EA_E_area	MS_E_area	BS_E_area	NG_R_area	PB_R_area	GS_R_area	EA_R_area
0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
