var_id	var_name	var_value	var_reduced_cost
0	y_0	5000.0	0.0
1	y_1	108149.72857674907	0.0
5	u_1	108149.72857674907	0.0
6	v_0	2292.7576831184315	0.0
7	v_1	2290.574832784	0.0
8	v_2	20836.32	0.0
9	v_3	21067.439999999995	0.0
10	v_4	21067.440000000006	0.0
11	v_5	21067.440000000002	0.0
12	v_6	24111.08857674923	0.0
13	v_7	87781.0	0.0
14	v_8	87781.00000000006	0.0
15	v_9	87780.99999999996	0.0
16	v_10	87780.99999999994	0.0
17	v_11	87781.00000000004	0.0
18	v_12	30742.659464	0.0
19	v_13	3348.5654479999994	0.0
20	v_14	1685.238768	0.0
21	v_15	35.971992	0.0
22	v_16	46822.148040000015	0.0
23	v_17	3057.73228	0.0
24	v_18	226.09290800000002	0.0
25	v_19	130.465404	0.0
27	v_21	388.44156	0.0
28	v_22	200.19680400000001	0.0
29	v_23	1143.4873320000002	0.0
32	x_B,N,N,C,A,P,2	64.0	0.0
37	x_B,N,N,C,C,L,1	4121.0	0.0
43	x_B,N,N,C,C,M,1	1353.0	0.0
50	x_B,N,N,C,C,P,2	651.0	0.0
55	x_B,N,N,C,C,S,1	97.0	0.0
62	x_B,N,N,C,D,L,2	1725.0	0.0
68	x_B,N,N,C,D,M,2	540.0	0.0
73	x_B,N,N,C,D,S,1	84.0	0.0
79	x_B,N,N,C,I,L,1	247.0	0.0
85	x_B,N,N,C,I,M,1	61.0	0.0
93	x_B,N,N,C,L,L,3	181.0	0.0
99	x_B,N,N,C,L,M,3	92.0	0.0
102	x_B,N,N,C,P,L,0	1268.0	0.0
108	x_B,N,N,C,P,M,0	909.0	0.0
116	x_B,N,N,C,W,L,2	4299.0	0.0
120	x_B,N,N,C,W,M,0	1664.0	0.0
128	x_B,N,N,C,W,P,2	310.0	0.0
133	x_B,N,N,C,W,S,1	107.0	0.0
139	x_B,N,N,H,C,L,1	71.0	0.0
145	x_B,N,N,L,A,L,1	378.0	0.0
