var_id	var_name	var_value	var_reduced_cost	db_prescription	db_row_id	db_status
1206	xNG_E_B,N,N,C,P,L,1	1268.0	0.0	P_L_NG_E_0	0	good
1207	xNG_E_B,N,N,C,P,L,2	1265.464	0.0	P_L_NG_E_0	1	good
1208	xNG_E_B,N,N,C,P,L,3	1262.933072	0.0	P_L_NG_E_0	2	good
1209	xNG_E_B,N,N,C,P,L,4	1260.407205856	0.0	P_L_NG_E_0	3	good
1210	xNG_E_B,N,N,C,P,L,5	1257.886391444288	0.0	P_L_NG_E_0	4	good
1211	xNG_E_B,N,N,C,P,M,1	909.0	0.0	P_M_NG_E_0	0	good
1212	xNG_E_B,N,N,C,P,M,2	907.182	0.0	P_M_NG_E_0	1	good
1213	xNG_E_B,N,N,C,P,M,3	905.3676360000001	0.0	P_M_NG_E_0	2	good
1214	xNG_E_B,N,N,C,P,M,4	903.5569007280001	0.0	P_M_NG_E_0	3	good
1215	xNG_E_B,N,N,C,P,M,5	901.7497869265441	0.0	P_M_NG_E_0	4	good
1221	xNG_E_B,N,N,C,W,M,1	1664.0	0.0	W_M_NG_E_0	0	good
1222	xNG_E_B,N,N,C,W,M,2	1660.672	0.0	W_M_NG_E_0	1	good
1223	xNG_E_B,N,N,C,W,M,3	1657.350656	0.0	W_M_NG_E_0	2	good
1224	xNG_E_B,N,N,C,W,M,4	1654.0359546880002	0.0	W_M_NG_E_0	3	good
1225	xNG_E_B,N,N,C,W,M,5	1650.7278827786242	0.0	W_M_NG_E_0	4	good
1271	xNG_E_B,N,N,L,D,L,1	58.0	0.0	D_L_NG_E_0	0	good
1272	xNG_E_B,N,N,L,D,L,2	57.884	0.0	D_L_NG_E_0	1	good
1273	xNG_E_B,N,N,L,D,L,3	57.768232	0.0	D_L_NG_E_0	2	good
1274	xNG_E_B,N,N,L,D,L,4	57.652695535999996	0.0	D_L_NG_E_0	3	good
1275	xNG_E_B,N,N,L,D,L,5	57.537390144928	0.0	D_L_NG_E_0	4	good
1296	xNG_E_B,N,N,L,P,L,1	92.0	0.0	P_L_NG_E_0	0	good
1297	xNG_E_B,N,N,L,P,L,2	91.816	0.0	P_L_NG_E_0	1	good
1298	xNG_E_B,N,N,L,P,L,3	91.632368	0.0	P_L_NG_E_0	2	good
1299	xNG_E_B,N,N,L,P,L,4	91.449103264	0.0	P_L_NG_E_0	3	good
1300	xNG_E_B,N,N,L,P,L,5	91.266205057472	0.0	P_L_NG_E_0	4	good
1306	xNG_E_B,N,N,L,W,M,1	337.0	0.0	W_M_NG_E_0	0	good
1307	xNG_E_B,N,N,L,W,M,2	336.326	0.0	W_M_NG_E_0	1	good
1308	xNG_E_B,N,N,L,W,M,3	335.653348	0.0	W_M_NG_E_0	2	good
1309	xNG_E_B,N,N,L,W,M,4	334.982041304	0.0	W_M_NG_E_0	3	good
1310	xNG_E_B,N,N,L,W,M,5	334.31207722139203	0.0	W_M_NG_E_0	4	good
1336	xNG_E_B,N,N,R,P,L,1	116.0	0.0	P_L_NG_E_0	0	good
1337	xNG_E_B,N,N,R,P,L,2	115.768	0.0	P_L_NG_E_0	1	good
1338	xNG_E_B,N,N,R,P,L,3	115.536464	0.0	P_L_NG_E_0	2	good
1339	xNG_E_B,N,N,R,P,L,4	115.30539107199999	0.0	P_L_NG_E_0	3	good
1340	xNG_E_B,N,N,R,P,L,5	115.074780289856	0.0	P_L_NG_E_0	4	good
1346	xNG_E_B,N,N,R,W,M,1	291.0	0.0	W_M_NG_E_0	0	good
1347	xNG_E_B,N,N,R,W,M,2	290.418	0.0	W_M_NG_E_0	1	good
1348	xNG_E_B,N,N,R,W,M,3	289.83716400000003	0.0	W_M_NG_E_0	2	good
