strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
BNNCAP	B	N	N	C	A	P	0.0	57.83409999999999	2.965900000000005	0.0	3.2	0.0
BNNCCL	B	N	N	C	C	L	0.0	3914.95	0.0	0.0	206.05	0.0
BNNCCM	B	N	N	C	C	M	0.0	1285.35	0.0	0.0	67.65	0.0
BNNCCP	B	N	N	C	C	P	0.0	0.0	618.45	0.0	32.550000000000004	0.0
BNNCCS	B	N	N	C	C	S	0.0	92.15	0.0	0.0	4.8500000000000005	0.0
BNNCDL	B	N	N	C	D	L	0.0	0.0	1638.75	0.0	86.25	0.0
BNNCDM	B	N	N	C	D	M	0.0	0.0	513.0	0.0	27.0	0.0
BNNCDS	B	N	N	C	D	S	0.0	79.8	0.0	0.0	4.2	0.0
BNNCIL	B	N	N	C	I	L	0.0	234.65	0.0	0.0	12.350000000000001	0.0
BNNCIM	B	N	N	C	I	M	57.95	0.0	0.0	0.0	3.0500000000000003	0.0
BNNCLL	B	N	N	C	L	L	0.0	0.0	171.95	0.0	9.05	0.0
BNNCLM	B	N	N	C	L	M	0.0	0.0	87.4	0.0	4.6000000000000005	0.0
BNNCPL	B	N	N	C	P	L	1204.6	0.0	0.0	0.0	63.400000000000006	0.0
BNNCPM	B	N	N	C	P	M	863.55	0.0	0.0	0.0	45.45	0.0
BNNCWL	B	N	N	C	W	L	0.0	0.0	4084.05	0.0	214.95000000000002	0.0
BNNCWM	B	N	N	C	W	M	1580.8	0.0	0.0	0.0	83.2	0.0
BNNCWP	B	N	N	C	W	P	0.0	0.0	294.5	0.0	15.5	0.0
BNNCWS	B	N	N	C	W	S	0.0	101.65	0.0	0.0	5.3500000000000005	0.0
BNNHCL	B	N	N	H	C	L	0.0	67.45	0.0	0.0	3.5500000000000003	0.0
BNNLAL	B	N	N	L	A	L	0.0	359.1	0.0	0.0	18.900000000000002	0.0
BNNLAM	B	N	N	L	A	M	0.0	149.15	0.0	0.0	7.8500000000000005	0.0
BNNLAS	B	N	N	L	A	S	0.0	0.0	81.7	0.0	4.3	0.0
BNNLCL	B	N	N	L	C	L	0.0	1326.2	0.0	0.0	69.8	0.0
BNNLCM	B	N	N	L	C	M	0.0	376.2	0.0	0.0	19.8	0.0
BNNLCS	B	N	N	L	C	S	0.0	95.0	0.0	0.0	5.0	0.0
BNNLDL	B	N	N	L	D	L	0.0	55.1	0.0	0.0	2.9000000000000004	0.0
BNNLIL	B	N	N	L	I	L	0.0	229.9	0.0	0.0	12.100000000000001	0.0
BNNLIM	B	N	N	L	I	M	0.0	206.15	0.0	0.0	10.850000000000001	0.0
BNNLIS	B	N	N	L	I	S	0.0	0.0	133.0	0.0	7.0	0.0
