fly_id	fly_description	fly_type	fly_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	fly_value	
1	set constraint 1 - layer4 L - silviculture method NG_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_E;7 1	NoIdentifier	NoIdentifier	956.65	
2	set constraint 2 - layer4 L - silviculture method NG_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_E;7 2	NoIdentifier	NoIdentifier	954.7366999999999	
3	set constraint 3 - layer4 L - silviculture method NG_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_E;7 3	NoIdentifier	NoIdentifier	952.8272265999999	
4	set constraint 4 - layer4 L - silviculture method NG_E - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_E;7 4	NoIdentifier	NoIdentifier	950.9215721467999	
5	set constraint 5 - layer4 L - silviculture method NG_E - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_E;7 5	NoIdentifier	NoIdentifier	949.0197290025063	
6	set constraint 6 - layer4 L - silviculture method PB_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_E;7 1	NoIdentifier	NoIdentifier	5304.65	
7	set constraint 7 - layer4 L - silviculture method PB_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_E;7 2	NoIdentifier	NoIdentifier	5294.0407000000005	
8	set constraint 8 - layer4 L - silviculture method PB_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_E;7 3	NoIdentifier	NoIdentifier	5283.4526186	
9	set constraint 9 - layer4 L - silviculture method PB_E - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_E;7 4	NoIdentifier	NoIdentifier	5272.885713362798	
10	set constraint 10 - layer4 L - silviculture method PB_E - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_E;7 5	NoIdentifier	NoIdentifier	5262.339941936075	
11	set constraint 11 - layer4 L - silviculture method GS_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 GS_E;7 1	NoIdentifier	NoIdentifier	1815.4499999999998	
12	set constraint 12 - layer4 L - silviculture method GS_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 GS_E;7 2	NoIdentifier	NoIdentifier	1811.8191	
13	set constraint 13 - layer4 L - silviculture method GS_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 GS_E;7 3	NoIdentifier	NoIdentifier	1808.1954617999995	
14	set constraint 14 - layer4 L - silviculture method GS_E - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 GS_E;7 4	NoIdentifier	NoIdentifier	1804.5790708763998	
15	set constraint 15 - layer4 L - silviculture method GS_E - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 GS_E;7 5	NoIdentifier	NoIdentifier	1800.969912734647	
16	set constraint 16 - layer4 L - silviculture method EA_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 EA_E;7 1	NoIdentifier	NoIdentifier	3653.85	
17	set constraint 17 - layer4 L - silviculture method EA_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 EA_E;7 2	NoIdentifier	NoIdentifier	3511.9121000000005	
18	set constraint 18 - layer4 L - silviculture method EA_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 EA_E;7 3	NoIdentifier	NoIdentifier	3504.8882758000004	
19	set constraint 19 - layer4 L - silviculture method EA_E - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 EA_E;7 4	NoIdentifier	NoIdentifier	3497.8784992484	
20	set constraint 20 - layer4 L - silviculture method EA_E - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 EA_E;7 5	NoIdentifier	NoIdentifier	3490.882742249903	
21	set constraint 21 - layer4 L - silviculture method MS_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 MS_E;7 1	NoIdentifier	NoIdentifier	617.4	
22	set constraint 22 - layer4 L - silviculture method MS_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 MS_E;7 2	NoIdentifier	NoIdentifier	617.4	
23	set constraint 23 - layer4 L - silviculture method MS_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 MS_E;7 3	NoIdentifier	NoIdentifier	617.4	
24	set constraint 24 - layer4 L - silviculture method MS_E - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 MS_E;7 4	NoIdentifier	NoIdentifier	617.4	
25	set constraint 25 - layer4 L - silviculture method MS_E - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 MS_E;7 5	NoIdentifier	NoIdentifier	617.4	
26	set constraint 26 - layer4 L - silviculture method BS_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 BS_E;7 1	NoIdentifier	NoIdentifier	0.0	
27	set constraint 27 - layer4 L - silviculture method BS_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 BS_E;7 2	NoIdentifier	NoIdentifier	0.0	
28	set constraint 28 - layer4 L - silviculture method BS_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 BS_E;7 3	NoIdentifier	NoIdentifier	0.0	
