var_id	var_name	var_value	var_reduced_cost	var_method	var_forest_status	var_layer1	var_layer2	var_layer3	var_layer4	var_layer5	var_layer6	var_choice	var_period	var_age	var_rotation_period	var_rotation_age	var_regen_covertype	data_connection	prescription	row_id	age_class	stand_age	stdnindex	culmmai_a	qd_mn_dia	plt_acres	trt_acres	ltr_allsx	lad_allsx	lah_allsx	lba_allsx	lca_allsx	lbd_allsx	htr_allsx	had_allsx	hah_allsx	hba_allsx	hca_allsx	hbd_allsx	ltr_gp1xx	lad_gp1xx	lah_gp1xx	lba_gp1xx	lca_gp1xx	lbd_gp1xx	htr_gp1xx	had_gp1xx	hah_gp1xx	hba_gp1xx	hca_gp1xx	hbd_gp1xx	ltr_gp2mm	lad_gp2mm	lah_gp2mm	lba_gp2mm	lca_gp2mm	lbd_gp2mm	htr_gp2mm	had_gp2mm	hah_gp2mm	hba_gp2mm	hca_gp2mm	hbd_gp2mm	ltr_gp3yy	lad_gp3yy	lah_gp3yy	lba_gp3yy	lca_gp3yy	lbd_gp3yy	htr_gp3yy	had_gp3yy	hah_gp3yy	hba_gp3yy	hca_gp3yy	hbd_gp3yy	ltr_gp4ss	lad_gp4ss	lah_gp4ss	lba_gp4ss	lca_gp4ss	lbd_gp4ss	htr_gp4ss	had_gp4ss	hah_gp4ss	hba_gp4ss	hca_gp4ss	hbd_gp4ss	pca_allsx	pbd_allsx	pca_gp1xx	pbd_gp1xx	pca_gp2mm	pbd_gp2mm	pca_gp3yy	pbd_gp3yy	pca_gp4ss	pbd_gp4ss	_stndage0	_ageint0	_cc00p	_cc10p	_cc15p	_cc20p	_lynx	_crbd	_tridx	_cridx	_fire	_snag10t	_snag20p	_esbtl	_dfbtl	_ppbtl	_wpbtl	_lpbtl	_hzbtl	_bdwtsm	dom_grp	siz_ntg	_stndage1	_ageint1	action_id	action_type
1161	xNG_E_B,N,N,C,C,P,0,1	618.45	0.0	NG	E	B	N	N	C	C	P	0	1					good	C_P_NG_E_0	0	4	37	278	11.84	4.27	5	0	3846.91	7.13	40.26	81.89	433.44	2088.43	0	0	0	0	0	0	10.22	11.5	49.65	7.39	96.98	424.27	0	0	0	0	0	0	75.57	8.45	42.18	29.95	336.47	1664.16	0	0	0	0	0	0	282.59	4.67	32.73	35.35	0	0	0	0	0	0	0	0	3478.53	0.39	4.45	9.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	4	59.61	10.38	0	0	0	0.18	0.72	12.43	5	0	0	1	1	0	0	0	1	2	304	20	36.6	4	0	no-action
1162	xNG_E_B,N,N,C,C,P,0,2	617.2131	0.0	NG	E	B	N	N	C	C	P	0	2					good	C_P_NG_E_0	1	5	45	328	25.82	5.1	11	0	2758.71	7.88	41.49	111	1162.1	4454.17	0	0	0	0	0	0	24.75	12.65	54.27	21.76	328	1401.96	0	0	0	0	0	0	130.17	8.55	44.54	52.68	683.76	3050.5	0	0	0	0	0	0	212.65	4.84	29.61	28.83	150.34	1.71	0	0	0	0	0	0	2391.13	0.45	5.1	7.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	5	65.27	19.71	0.42	0	0	0.19	12.41	12.02	5	0.91	0	1	1	0	0	0	2	3	201	20	45	5	0	no-action
1163	xNG_E_B,N,N,C,C,P,0,3	615.9786738	0.0	NG	E	B	N	N	C	C	P	0	3					good	C_P_NG_E_0	2	6	55	451	38.84	5.49	14	0	2633.58	8.99	47.51	161.33	2139.15	8825.27	0	0	0	0	0	0	66.8	12.99	58.49	62.51	1066.84	4708.66	0	0	0	0	0	0	146.75	8.73	47.97	62.08	926.36	4116.61	0	0	0	0	0	0	208.86	4.54	30.16	25.17	145.95	0	0	0	0	0	0	0	2211.17	0.61	6.7	11.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	6	72.72	40.51	6.66	0	0	0.22	30.99	9.46	5	5.26	0	1	2	0	1	0	2	3	201	13	55.07	6	0	no-action
1164	xNG_E_B,N,N,C,C,P,0,4	614.7467164524	0.0	NG	E	B	N	N	C	C	P	0	4					good	C_P_NG_E_0	3	7	65	456	43.33	6.5	15	0	1889.35	10	51.01	178.17	2833.86	12066.6	0	0	0	0	0	0	93.78	13.87	63.61	101.17	1897.79	8879.73	0	0	0	0	0	0	107.14	8.89	48.42	46.89	721.83	3170.41	0	0	0	0	0	0	202.69	4.29	28.84	22.01	214.12	16.46	0	0	0	0	0	0	1485.75	0.66	7.6	8.1	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	7	71.61	49.13	18.19	0.71	0	0.21	0	10.58	5	21.01	0.07	1	2	0	1	0	2	3	201	13	65.4	7	0	no-action
1165	xNG_E_B,N,N,C,C,P,0,5	613.5172230194953	0.0	NG	E	B	N	N	C	C	P	0	5					good	C_P_NG_E_0	4	8	75	452	44.48	7.28	15	0	1347.87	11	54.75	192.06	3353.88	15015	0	0	0	0	0	0	108.4	14.64	67.22	131.52	2615.14	12669.19	0	0	0	0	0	0	78.03	8.99	49.22	35.06	555.68	2344.66	0	0	0	0	0	0	171.56	4.33	28.54	18.7	182.81	1.16	0	0	0	0	0	0	989.88	0.81	9.2	6.79	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	8	71.8	55.59	30.16	5.17	0	0.18	0	12.19	5	36.69	0.19	1	2	0	1	0	2	3	267	12	75.4	8	0	no-action
1191	xNG_E_B,N,N,C,I,M,0,1	57.95	0.0	NG	E	B	N	N	C	I	M	0	1					good	I_M_NG_E_0	0	8	75	307	30.14	7.62	20	0	2019.57	9.87	59.3	113.92	2256.32	11462.97	0	0	0	0	0	0	63.28	13.47	72.19	64.8	1534.52	7820.34	0	0	0	0	0	0	80.62	8.93	58.62	35.6	711.45	3582.31	0	0	0	0	0	0	76.43	4.86	31.1	10.31	10.35	60.32	0	0	0	0	0	0	1799.23	0.25	1.95	3.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	8	46.46	30.19	7.75	1.28	9	0.1	47.78	22	2	6.72	0.5	1	2	0	0	2	2	2	281	13	74.85	8	0	no-action
1192	xNG_E_B,N,N,C,I,M,0,2	57.8341	0.0	NG	E	B	N	N	C	I	M	0	2					good	I_M_NG_E_0	1	9	85	351	34.02	7.81	37	0	1859.56	10.11	63.21	135.66	2883.13	14362.53	0	0	0	0	0	0	72.92	14.02	76.4	81.57	2032	10422.55	0	0	0	0	0	0	80.65	8.82	61.55	34.79	768.42	3811.21	0	0	0	0	0	0	128.64	4.64	31.67	16	82.71	128.77	0	0	0	0	0	0	1577.36	0.28	3.02	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	9	50.5	33.61	11.76	3.59	18	0.11	54.92	20.88	2	13.46	0.91	1	2	0	0	2	2	3	281	13	84.76	9	0	no-action
1193	xNG_E_B,N,N,C,I,M,0,3	57.7184318	0.0	NG	E	B	N	N	C	I	M	0	3					good	I_M_NG_E_0	2	10	95	359	34.32	7.86	44	0	1666.57	10.23	62.54	142.08	3256.15	15782.96	0	0	0	0	0	0	75.22	14.53	79.72	90.93	2366.58	12273.99	0	0	0	0	0	0	71.45	8.92	61.38	31.51	710.03	3394.66	0	0	0	0	0	0	137.34	4.57	30.1	16.62	179.49	114.31	0	0	0	0	0	0	1382.56	0.32	4.05	3.02	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	10	51.09	34.73	15.46	3.94	22	0.13	23.42	18.3	2	17.44	1.35	1	2	0	0	2	2	3	281	13	94.89	10	0	no-action
1194	xNG_E_B,N,N,C,I,M,0,4	57.602994936399995	0.0	NG	E	B	N	N	C	I	M	0	4					good	I_M_NG_E_0	3	11	105	360	32.69	7.87	48	0	1387.41	10.41	62.03	148.36	3432.92	16731.39	0	0	0	0	0	0	75.91	14.96	81.84	97.88	2607.39	13683.05	0	0	0	0	0	0	64.63	8.94	60.32	28.62	635.49	2963.96	0	0	0	0	0	0	138.65	4.75	29.81	18.09	189.98	84.39	0	0	0	0	0	0	1108.22	0.45	5.43	3.77	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	11	52.59	35.81	18.82	6.21	24	0.12	0.52	18.7	4	19.15	1.65	1	2	0	0	2	2	3	281	12	105.02	11	0	no-action
1195	xNG_E_B,N,N,C,I,M,0,5	57.487788946527196	0.0	NG	E	B	N	N	C	I	M	0	5					good	I_M_NG_E_0	4	12	115	350	30.22	7.91	51	0	1161.67	10.45	61.18	149.94	3479.93	17212.62	0	0	0	0	0	0	74.63	15.25	83.54	100.53	2726.77	14485.07	0	0	0	0	0	0	68.97	8.7	56.14	28.99	584.68	2672.51	0	0	0	0	0	0	131.01	4.67	28.71	16.46	168.4	55.05	0	0	0	0	0	0	887.06	0.56	6.4	3.95	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	12	52.38	35.26	20.24	7.7	26	0.12	0	19.07	4	19.9	2.11	2	2	0	0	2	2	3	281	12	115.14	12	0	no-action
