var_id	var_name	var_value	var_reduced_cost
1	y_1	108796.23242386742	0.0
2	l_0	5000.0	0.0
5	u_1	108796.23242386742	0.0
6	v_0	2292.3197989625105	0.0
7	v_1	2290.2460911448	0.0
8	v_2	20014.068	0.0
9	v_3	20014.06799999999	0.0
10	v_4	20014.068000000014	0.0
11	v_5	20014.06800000001	0.0
12	v_6	28739.960423867145	0.0
13	v_7	83391.94999999997	0.0
14	v_8	83391.94999999997	0.0
15	v_9	83391.95000000007	0.0
16	v_10	83391.95000000001	0.0
17	v_11	83391.95000000004	0.0
18	v_12	30297.546169399993	0.0
19	v_13	4467.161355599999	0.0
20	v_14	1738.3756310000006	0.0
21	v_15	34.173392400000004	0.0
22	v_16	47282.820959400044	0.0
23	v_17	1887.6226846000002	0.0
24	v_18	63.7570432	0.0
25	v_19	286.3233532000001	0.0
26	v_20	608.6805218	0.0
27	v_21	739.1832196	0.0
29	v_23	375.35566980000004	0.0
33	x_B,N,N,C,A,P,2	60.8	0.0
35	x_B,N,N,C,A,P,4	3.2	-0.011999999999999999
38	x_B,N,N,C,C,L,1	3914.95	0.0
41	x_B,N,N,C,C,L,4	206.05	-0.011999999999999999
44	x_B,N,N,C,C,M,1	1285.35	0.0
47	x_B,N,N,C,C,M,4	67.65	-0.011999999999999999
50	x_B,N,N,C,C,P,1	618.45	0.0
53	x_B,N,N,C,C,P,4	32.550000000000004	-0.011999999999999999
56	x_B,N,N,C,C,S,1	92.15	0.0
59	x_B,N,N,C,C,S,4	4.8500000000000005	-0.011999999999999999
63	x_B,N,N,C,D,L,2	1638.75	0.0
65	x_B,N,N,C,D,L,4	86.25	-0.011999999999999999
69	x_B,N,N,C,D,M,2	513.0	0.0
71	x_B,N,N,C,D,M,4	27.0	-0.011999999999999999
74	x_B,N,N,C,D,S,1	79.8	0.0
77	x_B,N,N,C,D,S,4	4.2	-0.011999999999999999
80	x_B,N,N,C,I,L,1	234.65	0.0
83	x_B,N,N,C,I,L,4	12.350000000000001	-0.011999999999999999
86	x_B,N,N,C,I,M,1	57.95	0.0
89	x_B,N,N,C,I,M,4	3.0500000000000003	-0.011999999999999999
93	x_B,N,N,C,L,L,2	171.95	0.0
95	x_B,N,N,C,L,L,4	9.05	-0.011999999999999999
98	x_B,N,N,C,L,M,1	87.4	0.0
101	x_B,N,N,C,L,M,4	4.6000000000000005	-0.011999999999999999
104	x_B,N,N,C,P,L,1	1204.6	0.0
107	x_B,N,N,C,P,L,4	63.400000000000006	-0.02192023968016
110	x_B,N,N,C,P,M,1	863.55	0.0
113	x_B,N,N,C,P,M,4	45.45	-0.02192023968016
117	x_B,N,N,C,W,L,2	4084.05	0.0
119	x_B,N,N,C,W,L,4	214.95000000000002	-0.011999999999999999
122	x_B,N,N,C,W,M,1	1580.8	0.0
125	x_B,N,N,C,W,M,4	83.2	-0.02192023968016
129	x_B,N,N,C,W,P,2	294.5	0.0
131	x_B,N,N,C,W,P,4	15.5	-0.011999999999999999
134	x_B,N,N,C,W,S,1	101.65	0.0
137	x_B,N,N,C,W,S,4	5.3500000000000005	-0.011999999999999999
140	x_B,N,N,H,C,L,1	67.45	0.0
143	x_B,N,N,H,C,L,4	3.5500000000000003	-0.011999999999999999
