bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	bookeeping_var_id	bookeeping_var_name	bookeeping_var_value	bookeeping_var_reduced_cost	total_penalty
1	rmcuft in 1 - time period 1	SOFT	1.0	5000.0	1.0	null	null	0	y_0	5000.0	0.0	0.0
2	rmcuft in 2 - time period 2	SOFT	1.0	5000.0	1.0	null	null	1	y_1	6250.0	0.0	0.0
3	rmcuft in 3 - time period 3	SOFT	1.0	5000.0	1.0	null	null	2	y_2	7812.5	0.0	0.0
4	rmcuft in 4 - time period 4	SOFT	1.0	5000.0	1.0	null	null	3	y_3	9765.625	0.0	0.0
5	rmcuft in 5 - time period 5	SOFT	1.0	5000.0	1.0	null	null	4	y_4	12207.03125	0.0	0.0
6	rmcuft in 6 - time period 6	SOFT	1.0	5000.0	1.0	null	null	5	y_5	15258.7890625	0.0	0.0
7	rmcuft in 7 - time period 7	SOFT	1.0	5000.0	1.0	null	null	6	y_6	19073.486328125	0.0	0.0
8	rmcuft in 8 - time period 8	SOFT	1.0	5000.0	1.0	null	null	7	y_7	23841.85791015625	0.0	0.0
9	rmcuft in 9 - time period 9	SOFT	1.0	5000.0	1.0	null	null	8	y_8	29802.322387695312	0.0	0.0
10	rmcuft in 10 - time period 10	SOFT	1.0	5000.0	1.0	null	null	9	y_9	37252.90298461914	0.0	0.0
11	rmcuft in 11 - time period 11	SOFT	1.0	5000.0	1.0	null	null	10	y_10	46566.128730773926	0.0	0.0
12	rmcuft in 12 - time period 12	SOFT	1.0	5000.0	1.0	null	null	11	y_11	58207.66091346741	0.0	0.0
13	rmcuft in 13 - time period 13	SOFT	1.0	5000.0	1.0	null	null	12	y_12	72759.57614183426	0.0	0.0
14	rmcuft in 14 - time period 14	SOFT	1.0	5000.0	1.0	null	null	13	y_13	90949.47017729282	0.0	0.0
15	rmcuft in 15 - time period 15	SOFT	1.0	5000.0	1.0	null	null	14	y_14	113686.83772161603	0.0	0.0
16	rmcuft in 16 - time period 16	SOFT	1.0	5000.0	1.0	null	null	15	y_15	142108.54715202004	0.0	0.0
17	rmcuft in 17 - time period 17	SOFT	1.0	5000.0	1.0	null	null	16	y_16	177635.68394002505	0.0	0.0
18	rmcuft in 18 - time period 18	SOFT	1.0	5000.0	1.0	null	null	17	y_17	222044.6049250313	0.0	0.0
19	rmcuft in 19 - time period 19	SOFT	1.0	5000.0	1.0	null	null	18	y_18	277555.75615628914	0.0	0.0
20	rmcuft in 20 - time period 20	SOFT	1.0	5000.0	1.0	null	null	19	y_19	346944.6951953614	0.0	0.0
21	rmcuft in 21 - time period 21	SOFT	1.0	5000.0	1.0	null	null	20	y_20	433680.86899420177	0.0	0.0
22	rmcuft in 22 - time period 22	SOFT	1.0	5000.0	1.0	null	null	21	y_21	542101.0862427521	0.0	0.0
23	rmcuft in 23 - time period 23	SOFT	1.0	5000.0	1.0	null	null	22	y_22	677626.3578034402	0.0	0.0
24	rmcuft in 24 - time period 24	SOFT	1.0	5000.0	1.0	null	null	23	y_23	847032.9472543002	0.0	0.0
25	rmcuft in 25 - time period 25	SOFT	1.0	5000.0	1.0	null	null	24	y_24	1058791.1840678754	0.0	0.0
