bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	
1	rmcuft in 1 - time period 1	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1	NoIdentifier	NoIdentifier	
2	rmcuft in 2 - time period 2	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 2	NoIdentifier	NoIdentifier	
3	rmcuft in 3 - time period 3	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 3	NoIdentifier	NoIdentifier	
4	rmcuft in 4 - time period 4	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 4	NoIdentifier	NoIdentifier	
5	rmcuft in 5 - time period 5	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 5	NoIdentifier	NoIdentifier	
6	rmcuft in 6 - time period 6	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 6	NoIdentifier	NoIdentifier	
7	rmcuft in 7 - time period 7	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 7	NoIdentifier	NoIdentifier	
8	rmcuft in 8 - time period 8	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 8	NoIdentifier	NoIdentifier	
9	rmcuft in 9 - time period 9	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 9	NoIdentifier	NoIdentifier	
10	rmcuft in 10 - time period 10	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 10	NoIdentifier	NoIdentifier	
11	rmcuft in 11 - time period 11	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 11	NoIdentifier	NoIdentifier	
12	rmcuft in 12 - time period 12	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 12	NoIdentifier	NoIdentifier	
13	rmcuft in 13 - time period 13	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 13	NoIdentifier	NoIdentifier	
14	rmcuft in 14 - time period 14	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 14	NoIdentifier	NoIdentifier	
15	rmcuft in 15 - time period 15	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 15	NoIdentifier	NoIdentifier	
16	rmcuft in 16 - time period 16	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 16	NoIdentifier	NoIdentifier	
17	rmcuft in 17 - time period 17	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 17	NoIdentifier	NoIdentifier	
18	rmcuft in 18 - time period 18	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 18	NoIdentifier	NoIdentifier	
19	rmcuft in 19 - time period 19	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 19	NoIdentifier	NoIdentifier	
20	rmcuft in 20 - time period 20	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 20	NoIdentifier	NoIdentifier	
21	rmcuft in 21 - time period 21	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 21	NoIdentifier	NoIdentifier	
22	rmcuft in 22 - time period 22	SOFT	1.0	5000.0	1.0	null	null	21 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 22	NoIdentifier	NoIdentifier	
