cons_id	cons_slack	cons_dual
1	-1250.0	-0.0
2	-2812.5	-0.0
3	-4765.625	-0.0
4	-7207.03125	-0.0
5	-10258.7890625	-0.0
6	-14073.486328125	-0.0
7	-18841.85791015625	-0.0
8	-24802.322387695312	-0.0
9	-32252.90298461914	-0.0
10	-41566.128730773926	-0.0
11	-53207.66091346741	-0.0
12	-67759.57614183426	-0.0
13	-85949.47017729282	-0.0
14	-108686.83772161603	-0.0
15	-137108.54715202004	-0.0
16	-172635.68394002505	-0.0
17	-217044.6049250313	-0.0
18	-272555.75615628914	-0.0
19	-341944.6951953614	-0.0
20	-428680.86899420177	-0.0
21	-537101.0862427521	-0.0
22	-672626.3578034402	-0.0
23	-842032.9472543002	-0.0
24	-1053791.1840678754	-0.0
25	-5000.0	-0.0
26	-6250.0	-0.0
27	-7812.5	-0.0
28	-9765.625	-0.0
29	-12207.03125	-0.0
30	-15258.7890625	-0.0
31	-19073.486328125	-0.0
32	-23841.85791015625	-0.0
33	-29802.322387695312	-0.0
34	-37252.90298461914	-0.0
35	-46566.128730773926	-0.0
36	-58207.66091346741	-0.0
37	-72759.57614183426	-0.0
38	-90949.47017729282	-0.0
39	-113686.83772161603	-0.0
40	-142108.54715202004	-0.0
41	-177635.68394002505	-0.0
42	-222044.6049250313	-0.0
43	-277555.75615628914	-0.0
44	-346944.6951953614	-0.0
45	-433680.86899420177	-0.0
46	-542101.0862427521	-0.0
47	-677626.3578034402	-0.0
48	-847032.9472543002	-0.0
49	-1058791.1840678754	-0.0
51	2500.0	0.0
53	3125.0	0.0
55	3906.25	0.0
57	4882.8125	0.0
59	6103.515625	0.0
61	7629.39453125	0.0
63	9536.7431640625	0.0
65	11920.928955078125	0.0
67	14901.161193847656	0.0
69	18626.45149230957	0.0
71	23283.064365386963	0.0
73	29103.830456733704	0.0
75	36379.78807091713	0.0
77	45474.73508864641	0.0
79	56843.418860808015	0.0
81	71054.27357601002	0.0
83	88817.84197001252	0.0
85	111022.30246251565	0.0
87	138777.87807814463	0.0
89	173472.34759768064	0.0
91	216840.434497101	0.0
93	271050.5431213761	0.0
95	338813.1789017202	0.0
97	423516.47362715006	0.0
