var_id	var_name	var_value	var_reduced_cost
1	v_0	3394.669200000001	0.0
2	v_1	3394.6692000000035	0.0
3	v_2	3394.669200000001	0.0
4	x_B,N,N,C,A,L,0	318.25	0.0
8	x_B,N,N,C,A,L,4	16.75	0.0
10	x_B,N,N,C,A,M,0	59.85	0.0
14	x_B,N,N,C,A,M,4	3.1500000000000004	0.0
16	x_B,N,N,C,A,P,0	60.8	0.0
20	x_B,N,N,C,A,P,4	3.2	0.0
22	x_B,N,N,C,C,L,0	3914.95	0.0
26	x_B,N,N,C,C,L,4	206.05	0.0
28	x_B,N,N,C,C,M,0	1285.35	0.0
32	x_B,N,N,C,C,M,4	67.65	0.0
34	x_B,N,N,C,C,P,0	618.45	0.0
38	x_B,N,N,C,C,P,4	32.550000000000004	0.0
40	x_B,N,N,C,C,S,0	92.15	0.0
44	x_B,N,N,C,C,S,4	4.8500000000000005	0.0
46	x_B,N,N,C,D,L,0	1638.75	0.0
50	x_B,N,N,C,D,L,4	86.25	0.0
52	x_B,N,N,C,D,M,0	513.0	0.0
56	x_B,N,N,C,D,M,4	27.0	0.0
58	x_B,N,N,C,D,S,0	79.8	0.0
62	x_B,N,N,C,D,S,4	4.2	0.0
64	x_B,N,N,C,I,L,0	234.65	0.0
68	x_B,N,N,C,I,L,4	12.350000000000001	0.0
70	x_B,N,N,C,I,M,0	57.95	0.0
74	x_B,N,N,C,I,M,4	3.0500000000000003	0.0
76	x_B,N,N,C,L,L,0	171.95	0.0
80	x_B,N,N,C,L,L,4	9.05	0.0
82	x_B,N,N,C,L,M,0	87.4	0.0
86	x_B,N,N,C,L,M,4	4.6000000000000005	0.0
88	x_B,N,N,C,P,L,0	1204.6	0.0
92	x_B,N,N,C,P,L,4	63.400000000000006	0.0
94	x_B,N,N,C,P,M,0	863.55	0.0
98	x_B,N,N,C,P,M,4	45.45	0.0
100	x_B,N,N,C,W,L,0	4084.05	0.0
104	x_B,N,N,C,W,L,4	214.95000000000002	0.0
106	x_B,N,N,C,W,M,0	1580.8	0.0
110	x_B,N,N,C,W,M,4	83.2	0.0
112	x_B,N,N,C,W,P,0	294.5	0.0
116	x_B,N,N,C,W,P,4	15.5	0.0
118	x_B,N,N,C,W,S,0	101.65	0.0
122	x_B,N,N,C,W,S,4	5.3500000000000005	0.0
124	x_B,N,N,H,C,L,0	67.45	0.0
128	x_B,N,N,H,C,L,4	3.5500000000000003	0.0
130	x_B,N,N,L,A,L,0	359.1	0.0
134	x_B,N,N,L,A,L,4	18.900000000000002	0.0
136	x_B,N,N,L,A,M,0	149.15	0.0
140	x_B,N,N,L,A,M,4	7.8500000000000005	0.0
142	x_B,N,N,L,A,S,0	81.7	0.0
146	x_B,N,N,L,A,S,4	4.3	0.0
148	x_B,N,N,L,C,L,0	1326.2	0.0
152	x_B,N,N,L,C,L,4	69.8	0.0
154	x_B,N,N,L,C,M,0	376.2	0.0
158	x_B,N,N,L,C,M,4	19.8	0.0
160	x_B,N,N,L,C,S,0	95.0	0.0
164	x_B,N,N,L,C,S,4	5.0	0.0
166	x_B,N,N,L,D,L,0	55.1	0.0
170	x_B,N,N,L,D,L,4	2.9000000000000004	0.0
172	x_B,N,N,L,I,L,0	229.9	0.0
176	x_B,N,N,L,I,L,4	12.100000000000001	0.0
178	x_B,N,N,L,I,M,0	206.15	0.0
182	x_B,N,N,L,I,M,4	10.850000000000001	0.0
184	x_B,N,N,L,I,S,0	133.0	0.0
188	x_B,N,N,L,I,S,4	7.0	0.0
190	x_B,N,N,L,L,M,0	71.25	0.0
194	x_B,N,N,L,L,M,4	3.75	0.0
