strata_id	layer1	layer2	layer3	layer4	layer5	layer6	area	age_class	model_strata	
C_A_L_N_CMSF_LARGE	C	A	L	N	CMSF	LARGE	5.0	12	true	
C_A_N_C_CMDF_LARGE	C	A	N	C	CMDF	LARGE	52.0	12	true	
C_A_N_C_CMDF_MEDIUM	C	A	N	C	CMDF	MEDIUM	396.0	9	true	
C_A_N_C_CMDF_SEEDSAP	C	A	N	C	CMDF	SEEDSAP	63.0	1	true	
C_A_N_C_CMDF_SMALL	C	A	N	C	CMDF	SMALL	62.0	4	true	
C_A_N_C_CMDF_VERYLARGE	C	A	N	C	CMDF	VERYLARGE	128.0	12	true	
C_A_N_C_CMES_LARGE	C	A	N	C	CMES	LARGE	360.0	12	true	
C_A_N_C_CMES_MEDIUM	C	A	N	C	CMES	MEDIUM	452.0	9	true	
C_A_N_C_CMES_SEEDSAP	C	A	N	C	CMES	SEEDSAP	10.0	1	true	
C_A_N_C_CMES_SMALL	C	A	N	C	CMES	SMALL	7.0	4	true	
C_A_N_C_CMES_VERYLARGE	C	A	N	C	CMES	VERYLARGE	332.0	12	true	
C_A_N_C_CMGF_LARGE	C	A	N	C	CMGF	LARGE	248.0	12	true	
C_A_N_C_CMGF_MEDIUM	C	A	N	C	CMGF	MEDIUM	42.0	9	true	
C_A_N_C_CMGF_SMALL	C	A	N	C	CMGF	SMALL	47.0	4	true	
C_A_N_C_CMGF_VERYLARGE	C	A	N	C	CMGF	VERYLARGE	109.0	12	true	
C_A_N_C_CMLP_LARGE	C	A	N	C	CMLP	LARGE	36.0	12	true	
C_A_N_C_CMLP_MEDIUM	C	A	N	C	CMLP	MEDIUM	4568.0	9	true	
C_A_N_C_CMLP_SEEDSAP	C	A	N	C	CMLP	SEEDSAP	65.0	1	true	
C_A_N_C_CMLP_SMALL	C	A	N	C	CMLP	SMALL	1729.0	4	true	
C_A_N_C_CMMH_LARGE	C	A	N	C	CMMH	LARGE	12.0	12	true	
C_A_N_C_CMMH_MEDIUM	C	A	N	C	CMMH	MEDIUM	80.0	9	true	
