query_id	query_description	query_type	query_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	query_value	
1	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
2	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
3	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
4	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
5	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
6	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 TRANS	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 TRANS;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
7	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 VERYLARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 VERYLARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
8	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
9	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
10	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
11	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
12	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
13	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 TRANS	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 TRANS;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
14	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 VERYLARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 VERYLARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
15	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
16	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
17	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
18	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
19	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
20	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 TRANS	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 TRANS;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
21	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 VERYLARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 VERYLARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
22	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
23	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
24	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
25	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
26	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
27	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 TRANS	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 TRANS;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
28	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 VERYLARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 VERYLARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
29	Area (i.e. acres) ..... No dynamic restriction ..... layer5 CDDF | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 CDDF;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
30	Area (i.e. acres) ..... No dynamic restriction ..... layer5 CDDF | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 CDDF;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
31	Area (i.e. acres) ..... No dynamic restriction ..... layer5 CDDF | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 CDDF;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
32	Area (i.e. acres) ..... No dynamic restriction ..... layer5 CDDF | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 CDDF;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
33	Area (i.e. acres) ..... No dynamic restriction ..... layer5 CDDF | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 CDDF;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	null	
