flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;3.461987502970909E7;4.945090042522327E7
2	Ending Inv	16 17;18	HARD	100.0	null	9.282887818411316E8;9.282887818411316E8
3	wui per 1 bud	34;49	HARD	41.0	null	1.0585959956478536E8;4.340243582156199E7
4	wui per 2 bud	35;50	HARD	41.0	null	7.85619695033741E7;3.221040749638338E7
5	wui per 3 bud	36;51	HARD	41.0	null	1.1439789196389116E8;4.6903135705195375E7
6	wui per 4 bud	37;52	HARD	41.0	null	7.666427461332484E7;3.1432352591463182E7
7	wui per 5 bud	38;53	HARD	41.0	null	6.180760775140107E7;2.5341119178074434E7
8	non wui per 1 bud	34;54	HARD	23.0	null	1.0585959956478536E8;2.484965624204115E7
9	non wui per 2 bud	35;55	HARD	23.0	null	7.85619695033741E7;3.0683697118299514E7
10	non wui per 3 bud	36;56	HARD	23.0	null	1.1439789196389116E8;2.9238043570031986E7
11	non wui per 4 bud	37;57	HARD	23.0	null	7.666427461332484E7;2.008457905291231E7
12	non wui per 5 bud	38;58	HARD	23.0	null	6.180760775140107E7;2.822596639491115E7
13	D1 Vol 80% MAG 5-6	1;690	HARD	80.0	null	2.2035149094445276E8;1.7628119275556222E8
14	VegB Thin 1	706;726	HARD	null	70.0	2291.797353410115;1604.2581473870807
15	VegB Thin 2	707;727	HARD	null	70.0	12413.29187264976;8689.304310854832
16	VegB Thin 3	708;728	HARD	null	70.0	21036.91853400961;4586.324959480328
17	VegB Thin 4	709;729	HARD	null	70.0	2010.9180295434526;1407.6426206804167
18	VegB Thin 5	710;730	HARD	null	70.0	954.2779192764601;0.0
19	WDMon Thin 1	711;731	HARD	null	65.0	550.425;357.77625
20	WDMon Thin 2	712;732	HARD	null	65.0	638.3314076824239;154.50993599999998
21	WDMon Thin 3	713;733	HARD	null	65.0	8.040102245999998;0.0
22	WDMon Thin 4	714;734	HARD	null	65.0	4876.5902136637405;3169.7836388814317
23	WDMon Thin 5	715;735	HARD	null	65.0	0.0;0.0
24	CMNonLP Thin 1	716;736	HARD	null	70.0	8535.944168710139;5975.160918097097
25	CMNonLP Thin 2	717;737	HARD	null	70.0	7728.930057142856;5410.251039999999
26	CMNonLP Thin 3	718;738	HARD	null	70.0	15963.581128411424;11174.506789887997
27	CMNonLP Thin 4	719;739	HARD	null	70.0	468.02631713641136;327.61842199548795
28	CMNonLP Thin 5	720;740	HARD	null	70.0	7281.7415428293625;60.168571274
29	CM LP Thin 1	721;741	HARD	null	25.0	4256.1590683772;1064.0397670943
30	CM LP Thin 2	722;742	HARD	null	25.0	3482.574238800303;870.6435597000758
31	CM LP Thin 3	723;743	HARD	null	25.0	174.16067915364602;43.540169788411504
32	CM LP Thin 4	724;744	HARD	null	25.0	4019.4142329139027;1004.8535582284757
33	CM LP Thin 5	725;745	HARD	null	25.0	2815.1445639849153;703.7861409962288
34	D1 Volume proportion 33%	746;761	HARD	50.0	200.0	1.4675808402240116E7;2.9351616804480232E7
35	D2 Volume Proportion 33%	747;762	HARD	50.0	200.0	2.605821542350427E7;2.1709049435880437E7
36	D3 Volume Proportion 33%	748;763	HARD	50.0	200.0	2.7552647302016728E7;3.3257081095295466E7
37	D3 Volume Proportion 33%	749;764	HARD	50.0	200.0	1.2183620920728166E7;2.436724184145633E7
38	D4 Volume Proportion 33%	750;765	HARD	50.0	200.0	1.1555281272720808E7;2.3110562545441616E7
