Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
BNPCCL	B	N	P	C	C	L	78	not found	Yes	
BNPHCL	B	N	P	H	C	L	478	not found	Yes	
BNPHCM	B	N	P	H	C	M	135	not found	Yes	
BNPHCP	B	N	P	H	C	P	56	not found	Yes	
BNPHNN	B	N	P	H	N	N	142	not found	Yes	
BNPHWL	B	N	P	H	W	L	245	not found	Yes	
BNPHWM	B	N	P	H	W	M	90	not found	Yes	
BNPRAL	B	N	P	R	A	L	118	not found	Yes	
BNPRCL	B	N	P	R	C	L	1246	not found	Yes	
BNPRCM	B	N	P	R	C	M	323	not found	Yes	
BNPRCP	B	N	P	R	C	P	72	not found	Yes	
BNPRDL	B	N	P	R	D	L	65	not found	Yes	
BNPRNN	B	N	P	R	N	N	55	not found	Yes	
BNPRPL	B	N	P	R	P	L	77	not found	Yes	
BNPRWL	B	N	P	R	W	L	742	not found	Yes	
BNPRWM	B	N	P	R	W	M	220	not found	Yes	
BNPRWP	B	N	P	R	W	P	62	not found	Yes	
BNSHCL	B	N	S	H	C	L	1617	not found	Yes	
BNSHCM	B	N	S	H	C	M	293	not found	Yes	
BNSHCP	B	N	S	H	C	P	65	not found	Yes	
BNSHCS	B	N	S	H	C	S	109	not found	Yes	
BNSHIL	B	N	S	H	I	L	57	not found	Yes	
BNSHLL	B	N	S	H	L	L	104	not found	Yes	
BNSHNN	B	N	S	H	N	N	67	not found	Yes	
BNSHWL	B	N	S	H	W	L	974	not found	Yes	
BNSHWM	B	N	S	H	W	M	206	not found	Yes	
BNSHWP	B	N	S	H	W	P	113	not found	Yes	
BNSHWS	B	N	S	H	W	S	215	not found	Yes	
BNSRCL	B	N	S	R	C	L	8882	not found	Yes	
BNSRCM	B	N	S	R	C	M	1847	not found	Yes	
BNSRCP	B	N	S	R	C	P	453	not found	Yes	
BNSRCS	B	N	S	R	C	S	183	not found	Yes	
BNSRDL	B	N	S	R	D	L	495	not found	Yes	
BNSRDM	B	N	S	R	D	M	211	not found	Yes	
BNSRDP	B	N	S	R	D	P	80	not found	Yes	
BNSRDS	B	N	S	R	D	S	66	not found	Yes	
BNSRLL	B	N	S	R	L	L	88	not found	Yes	
BNSRNN	B	N	S	R	N	N	811	not found	Yes	
BNSRPL	B	N	S	R	P	L	645	not found	Yes	
BNSRPP	B	N	S	R	P	P	56	not found	Yes	
