condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	
1	layer5 B | layer6 F	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 F	null	null	
2	layer5 B | layer6 G	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 G	null	null	
3	layer5 B | layer6 H	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 H	null	null	
4	layer5 B | layer6 I	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 I	null	null	
5	layer5 B | layer6 J	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 J	null	null	
6	layer5 B | layer6 K	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 K	null	null	
7	layer5 B | layer6 L	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 L	null	null	
8	layer5 B | layer6 M	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 M	null	null	
9	layer5 B | layer6 N	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 N	null	null	
10	layer5 B | layer6 O	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 O	null	null	
11	layer5 B | layer6 P	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 P	null	null	
12	layer5 B | layer6 Q	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 Q	null	null	
13	layer5 B | layer6 R	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 R	null	null	
14	layer5 B | layer6 S	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 S	null	null	
15	layer5 B | layer6 Z	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 Z	null	null	
16	layer5 C | layer6 F	0 A B;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 F	null	null	
