condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	
1	layer5 C | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 F	null	null	
2	layer5 C | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 G	null	null	
3	layer5 C | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 H	null	null	
4	layer5 C | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 I	null	null	
5	layer5 C | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 J	null	null	
6	layer5 C | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 K	null	null	
7	layer5 C | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 L	null	null	
8	layer5 C | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 M	null	null	
9	layer5 C | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 N	null	null	
10	layer5 C | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 O	null	null	
11	layer5 C | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 P	null	null	
12	layer5 C | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 Q	null	null	
13	layer5 C | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 R	null	null	
14	layer5 C | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 S	null	null	
15	layer5 D | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 F	null	null	
16	layer5 D | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 G	null	null	
17	layer5 D | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 H	null	null	
18	layer5 D | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 I	null	null	
19	layer5 D | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 J	null	null	
20	layer5 D | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 K	null	null	
21	layer5 D | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 L	null	null	
22	layer5 D | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 M	null	null	
23	layer5 D | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 N	null	null	
24	layer5 D | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 O	null	null	
25	layer5 D | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 P	null	null	
26	layer5 D | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 Q	null	null	
27	layer5 D | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 R	null	null	
28	layer5 D | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 S	null	null	
29	layer5 E | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 F	null	null	
30	layer5 E | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 G	null	null	
31	layer5 E | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 H	null	null	
32	layer5 E | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 I	null	null	
33	layer5 E | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 J	null	null	
34	layer5 E | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 K	null	null	
35	layer5 E | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 L	null	null	
36	layer5 E | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 M	null	null	
37	layer5 E | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 N	null	null	
38	layer5 E | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 O	null	null	
39	layer5 E | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 P	null	null	
40	layer5 E | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 Q	null	null	
41	layer5 E | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 R	null	null	
42	layer5 E | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 S	null	null	
43	layer5 F | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 F	null	null	
44	layer5 F | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 G	null	null	
45	layer5 F | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 H	null	null	
46	layer5 F | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 I	null	null	
47	layer5 F | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 J	null	null	
48	layer5 F | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 K	null	null	
49	layer5 F | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 L	null	null	
50	layer5 F | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 M	null	null	
51	layer5 F | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 N	null	null	
52	layer5 F | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 O	null	null	
53	layer5 F | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 P	null	null	
54	layer5 F | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 Q	null	null	
55	layer5 F | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 R	null	null	
56	layer5 F | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 S	null	null	
57	layer5 G | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 F	null	null	
58	layer5 G | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 G	null	null	
59	layer5 G | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 H	null	null	
60	layer5 G | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 I	null	null	
61	layer5 G | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 J	null	null	
62	layer5 G | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 K	null	null	
63	layer5 G | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 L	null	null	
64	layer5 G | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 M	null	null	
65	layer5 G | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 N	null	null	
66	layer5 G | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 O	null	null	
67	layer5 G | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 P	null	null	
68	layer5 G | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 Q	null	null	
69	layer5 G | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 R	null	null	
70	layer5 G | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 S	null	null	
71	layer5 H | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 F	null	null	
72	layer5 H | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 G	null	null	
73	layer5 H | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 H	null	null	
74	layer5 H | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 I	null	null	
75	layer5 H | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 J	null	null	
76	layer5 H | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 K	null	null	
77	layer5 H | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 L	null	null	
78	layer5 H | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 M	null	null	
79	layer5 H | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 N	null	null	
80	layer5 H | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 O	null	null	
81	layer5 H | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 P	null	null	
82	layer5 H | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 Q	null	null	
83	layer5 H | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 R	null	null	
84	layer5 H | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 S	null	null	
85	layer5 I | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 F	null	null	
86	layer5 I | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 G	null	null	
87	layer5 I | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 H	null	null	
88	layer5 I | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 I	null	null	
89	layer5 I | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 J	null	null	
90	layer5 I | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 K	null	null	
91	layer5 I | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 L	null	null	
92	layer5 I | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 M	null	null	
93	layer5 I | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 N	null	null	
94	layer5 I | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 O	null	null	
95	layer5 I | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 P	null	null	
96	layer5 I | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 Q	null	null	
97	layer5 I | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 R	null	null	
98	layer5 I | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 S	null	null	
99	layer5 T | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 F	null	null	
100	layer5 T | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 G	null	null	
101	layer5 T | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 H	null	null	
102	layer5 T | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 I	null	null	
103	layer5 T | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 J	null	null	
104	layer5 T | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 K	null	null	
105	layer5 T | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 L	null	null	
106	layer5 T | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 M	null	null	
107	layer5 T | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 N	null	null	
108	layer5 T | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 O	null	null	
109	layer5 T | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 P	null	null	
110	layer5 T | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 Q	null	null	
111	layer5 T | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 R	null	null	
112	layer5 T | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 S	null	null	
113	layer5 V | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 F	null	null	
114	layer5 V | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 G	null	null	
115	layer5 V | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 H	null	null	
116	layer5 V | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 I	null	null	
117	layer5 V | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 J	null	null	
